Category,Method,Model,Domain,Accuracy,Acc±1,Cohen's κ,Kendall's τ,Spearman's ρ,F1 (macro),Precision (macro),Recall (macro),N
2.2.2 Generic LLM,1. Zero-shot + all features,gpt-4o-mini,Content,0.35766423357664234,0.916058394160584,-0.006469925282798439,0.023163863128002015,0.0833333333333333,0.11639685847090879,0.1385767790262172,0.1984516129032258,274
2.2.2 Generic LLM,1. Zero-shot + all features,gpt-4o-mini,Coping,0.24087591240875914,0.7445255474452555,-0.03311882534215527,0.04344907290391536,-0.08578523861716622,0.1256007226738934,0.1012026321760835,0.18057971014492752,274
2.2.2 Generic LLM,1. Zero-shot + all features,gpt-4o-mini,Quitting,0.26277372262773724,0.7591240875912408,-0.012216532553035897,-0.04572534589954105,-0.2675904768045093,0.13261026584508756,0.11694651741293534,0.19295911619403278,274
2.2.2 Generic LLM,2. Zero-shot + selected features,gpt-4o-mini,Content,0.38321167883211676,0.8759124087591241,0.04460675084591892,0.09682397806671464,0.1733801683116359,0.17866066770996347,0.23010101010101008,0.21812186379928314,274
2.2.2 Generic LLM,2. Zero-shot + selected features,gpt-4o-mini,Coping,0.2773722627737226,0.7992700729927007,-0.019084829814411286,0.08471492198147934,-0.01644283150574992,0.13574129353233833,0.1069949494949495,0.1872463768115942,274
2.2.2 Generic LLM,2. Zero-shot + selected features,gpt-4o-mini,Quitting,0.30656934306569344,0.7445255474452555,0.04928870140068298,0.04399830199017397,-0.08021158864865398,0.21239059122695486,0.23982334869431643,0.23806148779191139,274
2.2.2 Generic LLM,3. Few-shot + all features,gpt-4o-mini,Content,0.3284671532846715,0.8832116788321168,-0.02249173545338401,0.06565966575625128,-0.04819699272019768,0.13968241336098025,0.16574536574536575,0.19232384566729915,274
2.2.2 Generic LLM,3. Few-shot + all features,gpt-4o-mini,Coping,0.24817518248175183,0.7226277372262774,-0.009912327786723907,0.021526756057138233,-0.0023413263753346942,0.15034289970794373,0.19862082362082362,0.19517114590045864,274
2.2.2 Generic LLM,3. Few-shot + all features,gpt-4o-mini,Quitting,0.29927007299270075,0.7408759124087592,0.0676473194505981,0.10625490826850587,-0.06817231499271278,0.22794790243059762,0.3530424183792493,0.26374391907014555,274
2.2.2 Generic LLM,4. Few-shot + selected features,gpt-4o-mini,Content,0.32116788321167883,0.8722627737226277,-0.023537917737789016,0.04888657141909034,0.05049626260974873,0.20305868349513378,0.354790636863051,0.22632384566729918,274
2.2.2 Generic LLM,4. Few-shot + selected features,gpt-4o-mini,Coping,0.2956204379562044,0.7700729927007299,0.04176708282747754,0.12914360290114618,0.1395142604702796,0.18503356003802035,0.2553846153846154,0.22850915431560592,274
2.2.2 Generic LLM,4. Few-shot + selected features,gpt-4o-mini,Quitting,0.3357664233576642,0.7116788321167883,0.10341603739662009,0.1558849869655308,0.008986690952863346,0.24021801354832553,0.24490816711885738,0.27108465917195057,274
2.2.2 Generic LLM,5. Continuous + natural language,gpt-4o-mini,Content,0.3357664233576642,0.8357664233576643,0.021946770745484123,0.07694981184578373,0.08551280469674036,0.16299818005435784,0.16391082460381412,0.2084743833017078,274
