,,Accuracy,Accuracy,Accuracy,Acc±1,Acc±1,Acc±1,Cohen's κ,Cohen's κ,Cohen's κ,F1 (macro),F1 (macro),F1 (macro),Kendall's τ,Kendall's τ,Kendall's τ,Spearman's ρ,Spearman's ρ,Spearman's ρ
Domain,,Content,Coping,Quitting,Content,Coping,Quitting,Content,Coping,Quitting,Content,Coping,Quitting,Content,Coping,Quitting,Content,Coping,Quitting
Category,Method,,,,,,,,,,,,,,,,,,
2.2.2 Generic LLM,1. Zero-shot + all features,0.35766423357664234,0.24087591240875914,0.26277372262773724,0.916058394160584,0.7445255474452555,0.7591240875912408,-0.006469925282798439,-0.03311882534215527,-0.012216532553035897,0.11639685847090879,0.1256007226738934,0.13261026584508756,0.023163863128002015,0.04344907290391536,-0.04572534589954105,0.0833333333333333,-0.08578523861716622,-0.2675904768045093
2.2.2 Generic LLM,2. Zero-shot + selected features,0.38321167883211676,0.2773722627737226,0.30656934306569344,0.8759124087591241,0.7992700729927007,0.7445255474452555,0.04460675084591892,-0.019084829814411286,0.04928870140068298,0.17866066770996347,0.13574129353233833,0.21239059122695486,0.09682397806671464,0.08471492198147934,0.04399830199017397,0.1733801683116359,-0.01644283150574992,-0.08021158864865398
2.2.2 Generic LLM,3. Few-shot + all features,0.3284671532846715,0.24817518248175183,0.29927007299270075,0.8832116788321168,0.7226277372262774,0.7408759124087592,-0.02249173545338401,-0.009912327786723907,0.0676473194505981,0.13968241336098025,0.15034289970794373,0.22794790243059762,0.06565966575625128,0.021526756057138233,0.10625490826850587,-0.04819699272019768,-0.0023413263753346942,-0.06817231499271278
2.2.2 Generic LLM,4. Few-shot + selected features,0.32116788321167883,0.2956204379562044,0.3357664233576642,0.8722627737226277,0.7700729927007299,0.7116788321167883,-0.023537917737789016,0.04176708282747754,0.10341603739662009,0.20305868349513378,0.18503356003802035,0.24021801354832553,0.04888657141909034,0.12914360290114618,0.1558849869655308,0.05049626260974873,0.1395142604702796,0.008986690952863346
2.2.2 Generic LLM,5. Continuous + natural language,0.3357664233576642,0.28832116788321166,0.26277372262773724,0.8357664233576643,0.7591240875912408,0.7518248175182481,0.021946770745484123,0.010133945939937439,0.025580535553951567,0.16299818005435784,0.16068743286788398,0.20094649564660472,0.07694981184578373,0.10270387084897033,0.07845256230331527,0.08551280469674036,-0.020836797564612163,0.009308722968462517
2.2.2 Generic LLM,6. Continuous + probabilities,0.4051094890510949,0.30656934306569344,0.30656934306569344,0.8941605839416058,0.8211678832116789,0.7992700729927007,0.08263325459587156,-0.004011417110236781,0.05481217887034995,0.18960439307687882,0.13266392819108472,0.2138560142197854,0.13024011383958614,0.08983428680511416,0.12450702118833622,0.1290865088063881,-0.08944679664670731,-0.22446015147473594
2.2.4 Digital Twin,1. Full-feature (70/30),0.37888198757763975,0.28792569659442724,0.3188854489164087,0.8944099378881988,0.7523219814241486,0.7739938080495357,0.05675576711827168,0.07310134873797558,0.08642102285875908,0.20919474626568446,0.20587773375735074,0.23022907436625267,0.22593380388426124,0.2501413115486423,0.17723049636071525,-0.19999999999999993,0.0,0.3333333333333333
2.2.4 Digital Twin,2. Selected-feature (70/30),0.40683229813664595,0.30959752321981426,0.3065015479876161,0.8695652173913043,0.7770897832817337,0.7739938080495357,0.11404658666935563,0.09347311719693918,0.08711012415463804,0.23039627977514615,0.2138430388642793,0.21684185973516823,0.19894104571958166,0.2731708413044068,0.2537361357017621,-0.9999999999999999,0.0,
2.2.4 Digital Twin,3. Full + feedback (70/30),0.37267080745341613,0.30030959752321984,0.30340557275541796,0.8788819875776398,0.7739938080495357,0.7956656346749226,0.0755542922114838,0.07714285714285729,0.08401709078534425,0.20102377688441178,0.21360129723601698,0.21767958130559578,0.2442138291766751,0.2604719943186964,0.28805373579929333,-0.4285714285714285,0.0,-0.9999999999999999
2.2.4 Digital Twin,4. CBT/ACT (10/90),0.4021857923497268,0.31986899563318777,0.3133187772925764,0.907103825136612,0.7893013100436681,0.8034934497816594,0.11332340076496139,0.0908963464951269,0.08701618500407249,0.22029425467840125,0.19982242884306198,0.2116945518674241,0.25642212675320497,0.3053331604597578,0.29150250314168336,0.03754022260688018,-0.018060413607693667,0.04228214848216597
2.2.4 Digital Twin,4. CBT/ACT (30/70),0.4053751399776036,0.31767337807606266,0.29642058165548096,0.9059350503919373,0.7863534675615212,0.8031319910514542,0.12080876626988535,0.08803885040786896,0.07023586114532787,0.2218121433914686,0.1897176373302903,0.20183639319020555,0.2638492619651583,0.28652865692089496,0.29147097839943065,-0.0015567652595764446,-0.09756276462275455,-0.014000577358737236
2.2.4 Digital Twin,4. CBT/ACT (70/30),0.39751552795031053,0.3157894736842105,0.32507739938080493,0.9006211180124224,0.7863777089783281,0.804953560371517,0.08881660516066925,0.09506604802109486,0.09900065258282043,0.21871068921911324,0.19336572815878736,0.20245180989401482,0.25369234294903903,0.2976887533266147,0.30047880808468225,-0.9999999999999999,0.19999999999999998,-0.9999999999999999
2.2.4 Digital Twin,4. CBT/ACT (90/10),0.41,0.31893687707641194,0.3222591362126246,0.9166666666666666,0.7774086378737541,0.8106312292358804,0.11322645290581157,0.10068062903531405,0.095856524427953,0.22882159585658926,0.20285683002151594,0.22129548476077754,0.31098928633050804,0.2869640779822867,0.30233703952708674,,,
