participant_id,domain,message_id_win,message_id_lose
R_01DKDv1e2j40qE9,coping,A23,A53
R_01DKDv1e2j40qE9,coping,A23,A36
R_01DKDv1e2j40qE9,coping,A23,D14
R_01DKDv1e2j40qE9,coping,A23,D28
R_01DKDv1e2j40qE9,coping,A23,A49
R_01DKDv1e2j40qE9,coping,A23,D3
R_01DKDv1e2j40qE9,coping,D30,A53
R_01DKDv1e2j40qE9,coping,A40,A53
R_01DKDv1e2j40qE9,coping,A5,A53
R_01DKDv1e2j40qE9,coping,D30,A36
R_01DKDv1e2j40qE9,coping,A40,A36
R_01DKDv1e2j40qE9,coping,A5,A36
R_01DKDv1e2j40qE9,coping,D30,D14
R_01DKDv1e2j40qE9,coping,A40,D14
R_01DKDv1e2j40qE9,coping,A5,D14
R_01DKDv1e2j40qE9,coping,D30,D28
R_01DKDv1e2j40qE9,coping,D30,A49
R_01DKDv1e2j40qE9,coping,D30,D3
R_01DKDv1e2j40qE9,coping,A40,D28
R_01DKDv1e2j40qE9,coping,A5,D28
R_01DKDv1e2j40qE9,coping,A40,A49
R_01DKDv1e2j40qE9,coping,A40,D3
R_01DKDv1e2j40qE9,coping,A5,A49
R_01DKDv1e2j40qE9,coping,A5,D3
R_01DKDv1e2j40qE9,quitting,A23,A36
R_01DKDv1e2j40qE9,quitting,A23,D28
R_01DKDv1e2j40qE9,quitting,A23,D3
R_01DKDv1e2j40qE9,quitting,A53,A36
R_01DKDv1e2j40qE9,quitting,A53,D28
R_01DKDv1e2j40qE9,quitting,A53,D3
R_01DKDv1e2j40qE9,quitting,D14,A36
R_01DKDv1e2j40qE9,quitting,D30,A36
R_01DKDv1e2j40qE9,quitting,A40,A36
R_01DKDv1e2j40qE9,quitting,A49,A36
R_01DKDv1e2j40qE9,quitting,A5,A36
R_01DKDv1e2j40qE9,quitting,D14,D28
R_01DKDv1e2j40qE9,quitting,D14,D3
R_01DKDv1e2j40qE9,quitting,D30,D28
R_01DKDv1e2j40qE9,quitting,D30,D3
R_01DKDv1e2j40qE9,quitting,A40,D28
R_01DKDv1e2j40qE9,quitting,A49,D28
R_01DKDv1e2j40qE9,quitting,A5,D28
R_01DKDv1e2j40qE9,quitting,A40,D3
R_01DKDv1e2j40qE9,quitting,A49,D3
R_01DKDv1e2j40qE9,quitting,A5,D3
R_06bvVqddFPEe0xj,content,D26,D66
R_06bvVqddFPEe0xj,content,A44,D66
R_06bvVqddFPEe0xj,content,D66,A37
R_06bvVqddFPEe0xj,content,D14,D66
R_06bvVqddFPEe0xj,content,D66,D58
R_06bvVqddFPEe0xj,content,D66,A3
R_06bvVqddFPEe0xj,content,D66,A25
R_06bvVqddFPEe0xj,content,D26,D30
R_06bvVqddFPEe0xj,content,A44,D30
R_06bvVqddFPEe0xj,content,D30,A37
R_06bvVqddFPEe0xj,content,D14,D30
R_06bvVqddFPEe0xj,content,D30,D58
R_06bvVqddFPEe0xj,content,D30,A3
R_06bvVqddFPEe0xj,content,D30,A25
R_06bvVqddFPEe0xj,content,D26,A37
R_06bvVqddFPEe0xj,content,D26,D58
R_06bvVqddFPEe0xj,content,D26,D1
R_06bvVqddFPEe0xj,content,D26,A3
R_06bvVqddFPEe0xj,content,D26,A25
R_06bvVqddFPEe0xj,content,A44,A37
R_06bvVqddFPEe0xj,content,A44,D58
R_06bvVqddFPEe0xj,content,A44,D1
R_06bvVqddFPEe0xj,content,A44,A3
R_06bvVqddFPEe0xj,content,A44,A25
R_06bvVqddFPEe0xj,content,D14,A37
R_06bvVqddFPEe0xj,content,D1,A37
R_06bvVqddFPEe0xj,content,D14,D58
