Model,Method,Combination,Domain,accuracy,directional_accuracy,kappa,spearman_rho,macro_f1
GPT-4o-mini,Zero-shot (all),"GPT-4o-mini
Zero-shot (all)",Content,0.36496350364963503,0.916058394160584,0.003969414615802469,0.0,0.29150543578404275
GPT-4o-mini,Zero-shot (all),"GPT-4o-mini
Zero-shot (all)",Coping,0.2846715328467153,0.7372262773722628,0.016842413591095395,-0.12243588088418567,0.2858700846052225
GPT-4o-mini,Zero-shot (all),"GPT-4o-mini
Zero-shot (all)",Quitting,0.2518248175182482,0.7627737226277372,-0.02140272398305232,-0.10695780408782421,0.30423280423280424
GPT-4o-mini,Zero-shot (select),"GPT-4o-mini
Zero-shot (select)",Content,0.38686131386861317,0.8832116788321168,0.048178321822919035,0.09793670613173629,0.3003202993689151
GPT-4o-mini,Zero-shot (select),"GPT-4o-mini
Zero-shot (select)",Coping,0.2846715328467153,0.8029197080291971,-0.009340876200500059,-0.06831504090941853,0.30662380749519125
GPT-4o-mini,Zero-shot (select),"GPT-4o-mini
Zero-shot (select)",Quitting,0.2846715328467153,0.7408759124087592,0.021695965024136954,-0.07318374271094234,0.3386637257604999
GPT-4o-mini,Few-shot (all),"GPT-4o-mini
Few-shot (all)",Content,0.35036496350364965,0.8941605839416058,0.005667686034658503,0.08814360629223993,0.33918051525542947
GPT-4o-mini,Few-shot (all),"GPT-4o-mini
Few-shot (all)",Coping,0.25547445255474455,0.7372262773722628,-0.008516166281755222,-0.021218863987503674,0.3245138779014234
GPT-4o-mini,Few-shot (all),"GPT-4o-mini
Few-shot (all)",Quitting,0.291970802919708,0.7299270072992701,0.056899029505171894,-0.009347064852248475,0.36638684524932397
GPT-4o-mini,Few-shot (select),"GPT-4o-mini
Few-shot (select)",Content,0.3284671532846715,0.8795620437956204,-0.011374350538626565,0.1150123916420068,0.33895631565179846
GPT-4o-mini,Few-shot (select),"GPT-4o-mini
Few-shot (select)",Coping,0.3029197080291971,0.7700729927007299,0.05214351692536179,0.1160007877142462,0.39561142505670244
