Model,Type,Domain,accuracy,directional_accuracy,directional_macro_f1,kappa,kendall_tau,spearman_rho,n_samples,f1_macro
GPT-4o-mini,LLM,Content,0.4161490683229814,0.7298136645962733,0.4040994875640545,0.11425854122466894,0.2925515704844327,0.1150123916420068,274,
GPT-4o-mini,LLM,Coping,0.3281733746130031,0.5046439628482973,0.4047415477819034,0.10867657718376844,0.2954190532767955,0.1160007877142462,274,
GPT-4o-mini,LLM,Quitting,0.3284671532846715,0.5975232198142415,0.45849725564666555,0.0954473048661425,0.2953293861139103,-0.009347064852248475,274,
GPT-5,LLM,Content,0.453416149068323,0.6739130434782609,0.4518843415060006,0.20831470719713907,0.32983382728011174,0.14285714285714285,274,
GPT-5,LLM,Coping,0.37770897832817335,0.6130030959752322,0.5140182555451064,0.1651922335090652,0.331201530393231,0.19999999999999998,274,
GPT-5,LLM,Quitting,0.4055727554179567,0.6470588235294118,0.5226944661799917,0.210118069619044,0.4310135429536597,0.49999999999999994,274,
DeepSeek-R1,LLM,Content,0.43788819875776397,0.6614906832298136,0.487849669267667,0.20063091482649842,0.26576801603232447,0.3333333333333333,274,
DeepSeek-R1,LLM,Coping,0.38699690402476783,0.5975232198142415,0.4616440351734468,0.18002436053593185,0.32231419821296853,0.7142857142857142,274,
DeepSeek-R1,LLM,Quitting,0.4024767801857585,0.6439628482972136,0.5171012699921301,0.20539686181535455,0.36105117658182134,0.5999999999999999,274,
Grok-4-Fast,LLM,Content,0.4813664596273292,0.7111801242236024,0.4411569103092073,0.22995188452285487,0.3409529394833443,0.19999999999999998,274,
Grok-4-Fast,LLM,Coping,0.43653250773993807,0.6594427244582043,0.5226503385105535,0.22645928733091214,0.36874291446087615,0.3333333333333333,274,
Grok-4-Fast,LLM,Quitting,0.43653250773993807,0.6718266253869969,0.520271482406207,0.23153546497947664,0.4211379125445112,0.3333333333333333,274,
Gemini-2.5-Pro,LLM,Content,0.422360248447205,0.6739130434782609,0.4544977846021065,0.16261901765865527,0.25641712183459014,0.3333333333333333,274,
Gemini-2.5-Pro,LLM,Coping,0.43343653250773995,0.6346749226006192,0.501474248164086,0.23345566780355587,0.3443080300832913,0.7142857142857142,274,
Gemini-2.5-Pro,LLM,Quitting,0.44891640866873067,0.6594427244582043,0.5219413096939123,0.2561743967915131,0.3985015338141389,0.9999999999999998,274,
Logistic Regression,Supervised ML,Content,0.35766423357664234,0.5912408759124088,0.3426901932842963,0.06197237891460805,,0.0,274,0.2286512397940858
Logistic Regression,Supervised ML,Coping,0.3029197080291971,0.551094890510949,0.32733800590943446,0.026235486752009707,,0.0,274,0.19399711399711403
Logistic Regression,Supervised ML,Quitting,0.3613138686131387,0.5693430656934306,0.4074187092909131,0.11475833548720593,,0.0,274,0.299041088335325
Random Forest,Supervised ML,Content,0.35766423357664234,0.6167883211678832,0.34025010495598723,0.05483908902042267,,0.0,274,0.2146048601118066
Random Forest,Supervised ML,Coping,0.3029197080291971,0.5364963503649635,0.3042888152577442,0.011540277646614583,,0.0,274,0.18207354947955573
Random Forest,Supervised ML,Quitting,0.3759124087591241,0.6204379562043796,0.3610065227170491,0.11294964028776988,,0.0,274,0.24909391556215513
