Model,Model_ID,Method,Category,Domain,Accuracy,Directional Accuracy,Directional Macro-F1,Kappa,QWK,F1,Kendall_Tau,Spearman_Rho,N,Split,Source_File,Feature_Set,Classifier
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Content,0.38562091503267976,0.7418300653594772,0.31838643415934614,0.027059937762143105,0.0342965779467681,0.13741593689614057,0.12194216783157384,,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Coping,0.254071661237785,0.4495114006514658,0.3129370944484499,-0.011393880105307064,0.0693182991804524,0.1405060844426516,0.07330619004034203,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Quitting,0.30944625407166126,0.5700325732899023,0.3626031732704556,0.048242984367459885,0.10418357304418391,0.1772475090723428,0.12504683872108355,,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Content,0.42810457516339867,0.7418300653594772,0.32781279611090514,0.09978818545540125,0.08498428306601102,0.2054936635075677,0.1343596523209361,,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Coping,0.28338762214983715,0.5309446254071661,0.34146041296321616,0.005389803551968941,0.0962777179629204,0.14395931142410015,0.10461628046243826,,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Quitting,0.3322475570032573,0.6188925081433225,0.4277403493953589,0.07179623320502038,0.17217646944298415,0.24626564349569247,0.16025694247790787,,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Content,0.369281045751634,0.7124183006535948,0.31957346587696783,0.017893371470382946,0.111603658726938,0.19148572880059933,0.12841785915365883,,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Coping,0.26384364820846906,0.41368078175895767,0.3274405433508108,0.024039611202543276,0.08686341051629687,0.17224330293729456,0.08178627128441085,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Quitting,0.2736156351791531,0.5244299674267101,0.3596153079669795,0.017973434317353765,0.10584524528555139,0.20364592417263103,0.08906831497285679,-0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Content,0.3758169934640523,0.696078431372549,0.34746611480770734,0.04155460806821898,0.10781578204846853,0.21058220688357676,0.1292091483071674,,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Coping,0.30293159609120524,0.48859934853420195,0.3950751145024404,0.07149822632389724,0.1540824190141431,0.21341870413843883,0.16878459610397692,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,,
