Model,Model_ID,Method,Category,Domain,Accuracy,Acc±1,Kappa,Kendall_Tau,Spearman_Rho,N
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Content,0.36496350364963503,0.916058394160584,0.003969414615802469,0.02751735759203496,0.0,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Coping,0.2846715328467153,0.7372262773722628,0.016842413591095395,0.020526415366082604,-0.12243588088418567,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Quitting,0.2518248175182482,0.7627737226277372,-0.02140272398305232,0.0322749162809319,-0.10695780408782421,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Content,0.38686131386861317,0.8832116788321168,0.048178321822919035,0.07212510281088474,0.09793670613173629,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Coping,0.2846715328467153,0.8029197080291971,-0.009340876200500059,0.09253322137360002,-0.06831504090941853,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Quitting,0.2846715328467153,0.7408759124087592,0.021695965024136954,0.04804256897871327,-0.07318374271094234,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Content,0.35036496350364965,0.8941605839416058,0.005667686034658503,0.0851307327728166,0.08814360629223993,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Coping,0.25547445255474455,0.7372262773722628,-0.008516166281755222,0.05300382682038265,-0.021218863987503674,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Quitting,0.291970802919708,0.7299270072992701,0.056899029505171894,0.10452335667120423,-0.009347064852248475,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Content,0.3284671532846715,0.8795620437956204,-0.011374350538626565,0.06673782750783772,0.1150123916420068,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Coping,0.3029197080291971,0.7700729927007299,0.05214351692536179,0.1406421278855954,0.1160007877142462,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Quitting,0.3284671532846715,0.7007299270072993,0.09229051888660833,0.1308611329442005,-0.07037875289170667,274
GPT-4o-mini,gpt-4o-mini,Continuous (NL),Generic LLM,Content,0.33941605839416056,0.8357664233576643,0.024469884731893377,0.06164839521589206,-0.043354708762740966,274
GPT-4o-mini,gpt-4o-mini,Continuous (NL),Generic LLM,Coping,0.291970802919708,0.7700729927007299,0.011970260223048257,0.11143400614573781,0.03620366943553004,274
GPT-4o-mini,gpt-4o-mini,Continuous (NL),Generic LLM,Quitting,0.2737226277372263,0.7445255474452555,0.041317954849145355,0.09351822777464121,-0.16045122944886706,274
GPT-4o-mini,gpt-4o-mini,Digital Twin (70/30),Digital Twin,Content,0.4161490683229814,0.9099378881987578,0.11425854122466894,0.2925515704844327,-0.9999999999999999,322
GPT-4o-mini,gpt-4o-mini,Digital Twin (70/30),Digital Twin,Coping,0.3281733746130031,0.7894736842105263,0.10867657718376844,0.2954190532767955,0.0,323
GPT-4o-mini,gpt-4o-mini,Digital Twin (70/30),Digital Twin,Quitting,0.32507739938080493,0.8142414860681114,0.0954473048661425,0.2953293861139103,-0.9999999999999999,323
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Content,0.3759124087591241,0.864963503649635,0.041075704549641046,-0.02060161687405165,0.12113248654051872,274
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Coping,0.2737226277372263,0.7262773722627737,0.017673446592321618,0.013787714205886353,-0.12353914311458768,274
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Quitting,0.19708029197080293,0.5401459854014599,0.03136649955007087,0.03810380523993127,0.0674388165806567,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Content,0.3905109489051095,0.8576642335766423,0.06722928897586433,-0.005244080172381662,-0.04855310677479349,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Coping,0.291970802919708,0.7408759124087592,0.03810936991060765,0.03609282978654789,-0.0805421959121758,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Quitting,0.20437956204379562,0.5364963503649635,0.02877955188449166,0.03548202644975765,-0.04082416428083582,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Content,0.354014598540146,0.7992700729927007,0.051810432470477674,0.05022962823518854,0.013334901468175227,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Coping,0.19708029197080293,0.6751824817518248,-0.048676107303155636,0.030440063134493267,-0.08308666661977125,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Quitting,0.22262773722627738,0.6204379562043796,0.025155341751854188,0.03878127824688633,-0.07413345026687299,274
