Domain,Display_Order,Row_Label,Label,Method,Series_Type,Series_Label,Series,Rating,Percent,N,Color
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Human reference,Human ratings,Human ratings,1,3.9735,302,#4D4D4D
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Human reference,Human ratings,Human ratings,2,5.2980,302,#4D4D4D
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Human reference,Human ratings,Human ratings,3,17.2185,302,#4D4D4D
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Human reference,Human ratings,Human ratings,4,37.0861,302,#4D4D4D
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Human reference,Human ratings,Human ratings,5,36.4238,302,#4D4D4D
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,1,0.0000,302,#0173B2
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,2,0.0000,302,#0173B2
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,3,3.3113,302,#0173B2
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,4,78.1457,302,#0173B2
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,5,18.5430,302,#0173B2
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,1,0.3311,302,#DE8F05
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,2,0.6623,302,#DE8F05
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,3,7.9470,302,#DE8F05
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,4,77.4834,302,#DE8F05
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,5,13.5762,302,#DE8F05
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,1,0.3311,302,#029E73
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,2,2.6490,302,#029E73
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,3,9.9338,302,#029E73
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,4,68.2119,302,#029E73
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,5,18.8742,302,#029E73
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,1,0.0000,302,#CC78BC
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,2,0.0000,302,#CC78BC
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,3,1.9868,302,#CC78BC
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,4,43.0464,302,#CC78BC
Content,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,5,54.9669,302,#CC78BC
