k_train,feature_set,domain,method,method_source,method_display,K,selected_human_rating,random_mean,human_oracle_rating,gain_over_random,oracle_gain_over_random,n_messages,selected_human_rating_se,selected_human_rating_ci_lower,selected_human_rating_ci_upper,random_mean_se,random_mean_ci_lower,random_mean_ci_upper,gain_over_random_se,gain_over_random_ci_lower,gain_over_random_ci_upper,human_oracle_rating_se,human_oracle_rating_ci_lower,human_oracle_rating_ci_upper,oracle_gain_over_random_se,oracle_gain_over_random_ci_lower,oracle_gain_over_random_ci_upper,ci_method,ci_z,feature_selection_rule
7,Demographics + History + Message Embedding,Content,Supervised RF,Supervised RF,Supervised RF,5,4.3152380952380955,3.926127253893648,4.7666666666666675,0.3891108413444479,0.8405394127730199,122,0.2403908382240072,3.8440720523190417,4.78640413815715,0.0380574036713149,3.8515347426978703,4.000719765089425,0.2433847182471451,-0.0879232064199564,0.8661448891088523,0.0666666666666665,4.636000000000001,4.897333333333334,0.0767646430242846,0.690080712445422,0.9909981131006178,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,Supervised RF,Supervised RF,Supervised RF,10,4.076483516483517,3.926127253893648,4.648690476190476,0.1503562625898693,0.7225632222968281,122,0.1763272869033511,3.7308820341529487,4.422084998814086,0.0380574036713149,3.8515347426978703,4.000719765089425,0.1803875774018214,-0.2032033891177007,0.5039159142974394,0.0531332609956915,4.54454928463892,4.752831667742031,0.0653567854031828,0.5944639229065898,0.8506625216870665,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,Supervised RF,Supervised RF,Supervised RF,15,3.9509890109890113,3.926127253893648,4.567698412698413,0.0248617570953637,0.6415711588047657,122,0.1306498975956974,3.694915211701444,4.207062810276579,0.0380574036713149,3.8515347426978703,4.000719765089425,0.1360799827894156,-0.2418550091718908,0.2915785233626183,0.0463694994093165,4.4768141938561525,4.658582631540674,0.0599874691054058,0.5239957193581701,0.7591465982513612,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,Supervised RF,Supervised RF,Supervised RF,20,3.91577152014652,3.926127253893648,4.5111904761904755,-0.0103557337471276,0.585063222296828,122,0.1056890705438493,3.708620941880575,4.122922098412465,0.0380574036713149,3.8515347426978703,4.000719765089425,0.112332299925819,-0.2305270416017329,0.2098155741074777,0.0411833225711834,4.430471163950956,4.591909788429995,0.0560752354627563,0.4751557607898256,0.6949706838038303,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,Supervised RF,Supervised RF,Supervised RF,25,3.939045787545788,3.926127253893648,4.467450549450549,0.0129185336521402,0.5413232955569018,122,0.0878533745258978,3.766853173475028,4.111238401616547,0.0380574036713149,3.8515347426978703,4.000719765089425,0.0957422654306293,-0.1747363065918933,0.2005733738961737,0.0374081036208242,4.394130666353734,4.540770432547365,0.0533641470531268,0.4367295673327733,0.6459170237810304,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,5,4.11,3.926127253893648,4.7666666666666675,0.1838727461063527,0.8405394127730199,122,0.167630546142402,3.781444129560892,4.438555870439108,0.0380574036713149,3.8515347426978703,4.000719765089425,0.1718963815040951,-0.1530441616416736,0.5207896538543791,0.0666666666666665,4.636000000000001,4.897333333333334,0.0767646430242846,0.690080712445422,0.9909981131006178,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,10,4.13,3.926127253893648,4.648690476190476,0.2038727461063523,0.7225632222968281,122,0.1000314576371193,3.933938343031246,4.326061656968754,0.0380574036713149,3.8515347426978703,4.000719765089425,0.1070264382814275,-0.0058990729252456,0.4136445651379503,0.0531332609956915,4.54454928463892,4.752831667742031,0.0653567854031828,0.5944639229065898,0.8506625216870665,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,15,4.1635897435897435,3.926127253893648,4.567698412698413,0.2374624896960959,0.6415711588047657,122,0.0707716281081855,4.0248773524976995,4.302302134681788,0.0380574036713149,3.8515347426978703,4.000719765089425,0.0803553938406422,0.079965917768437,0.3949590616237548,0.0463694994093165,4.4768141938561525,4.658582631540674,0.0599874691054058,0.5239957193581701,0.7591465982513612,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,20,4.156025641025641,3.926127253893648,4.5111904761904755,0.2298983871319935,0.585063222296828,122,0.0688187605573692,4.0211408703331974,4.290910411718085,0.0380574036713149,3.8515347426978703,4.000719765089425,0.0786408785483347,0.0757622651772574,0.3840345090867295,0.0411833225711834,4.430471163950956,4.591909788429995,0.0560752354627563,0.4751557607898256,0.6949706838038303,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Content,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,25,4.159820512820513,3.926127253893648,4.467450549450549,0.2336932589268654,0.5413232955569018,122,0.0564746018277524,4.049130293238118,4.270510732402908,0.0380574036713149,3.8515347426978703,4.000719765089425,0.0681010031189306,0.1002152928137614,0.3671712250399694,0.0374081036208242,4.394130666353734,4.540770432547365,0.0533641470531268,0.4367295673327733,0.6459170237810304,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
