Model,Domain,K,LLM Selection (Human Rating),LLM SE,LLM CI Lower,LLM CI Upper,Human Oracle (Human Rating),Human Oracle SE,Human Oracle CI Lower,Human Oracle CI Upper,Random Mean,Random SE,Random CI Lower,Random CI Upper,Bootstrap_N,N Messages
GPT-4o-mini,Content,5,3.85,0.6302568397048739,2.4,4.8,5.0,0.010951200109410931,5.0,5.0,3.9531240476190472,0.3167652999283125,3.266666666666667,4.516666666666667,2000,108
GPT-4o-mini,Content,10,3.925,0.34552948765217045,3.149375,4.450208333333332,5.0,0.055536848540162005,4.816666666666666,5.0,3.9530542857142854,0.2284118073660358,3.494190476190476,4.358333333333333,2000,108
GPT-4o-mini,Content,15,3.966666666666667,0.24334759623161015,3.4166666666666665,4.366666666666666,4.888888888888889,0.0823379321361679,4.71111111111111,5.0,3.9515143650793654,0.18552353587873402,3.5755555555555554,4.300083333333332,2000,108
GPT-4o-mini,Content,20,3.995238095238095,0.19457731145326587,3.5625,4.310833333333333,4.791666666666667,0.07494819406083021,4.654166666666667,4.941666666666667,3.94950119047619,0.16115669621866896,3.623720238095238,4.252541666666667,2000,108
GPT-4o-mini,Content,25,3.9161904761904758,0.16759600581309475,3.656654761904761,4.293333333333333,4.733333333333333,0.06451622616354669,4.606666666666666,4.86,3.949288952380952,0.14444987346059154,3.658666666666667,4.216666666666666,2000,108
GPT-4o-mini,Coping,5,4.266666666666667,0.4177277188701333,3.0324999999999998,4.6,5.0,0.03439864693899148,4.866666666666667,5.0,3.7055555602240893,0.34710855893360226,3.0,4.366666666666666,2000,108
GPT-4o-mini,Coping,10,4.3166666666666655,0.28948996158264795,3.3166666666666673,4.45,4.933333333333333,0.08717057619791982,4.716666666666667,5.0,3.7117602030812322,0.24282080457146243,3.2166666666666672,4.166666666666667,2000,108
GPT-4o-mini,Coping,15,4.2333333333333325,0.2304457275187719,3.4997777777777777,4.388888888888889,4.8,0.08784350736017504,4.644444444444445,4.977777777777778,3.70827789449113,0.19956964604450886,3.3044197012138183,4.1,2000,108
GPT-4o-mini,Coping,20,3.9975,0.18665398072432401,3.6100000000000003,4.3267083333333325,4.725,0.07403176927942265,4.58204761904762,4.875000000000001,3.7095660994397757,0.17136648892528308,3.3674791666666666,4.050023109243697,2000,108
GPT-4o-mini,Coping,25,4.040857142857143,0.16137832681546174,3.6436119047619053,4.28067380952381,4.673333333333333,0.07739379007095905,4.485604761904761,4.800000000000001,3.708749392156863,0.1527411164811154,3.4130467787114847,3.998763865546219,2000,108
GPT-4o-mini,Quitting,5,4.25,0.3748915585427834,3.2139285714285712,4.686749999999998,5.0,0.031013205359581186,4.883333333333334,5.0,3.7156749859943976,0.36191764418731365,2.95,4.366666666666666,2000,108
GPT-4o-mini,Quitting,10,4.078571428571428,0.26154908928475207,3.528482142857143,4.535,4.941666666666666,0.08146597440116612,4.720000000000001,5.0,3.727420511204482,0.25523086047424776,3.2083333333333335,4.2005059523809525,2000,108
GPT-4o-mini,Quitting,15,4.141269841269842,0.20823567368479934,3.6491269841269847,4.459047619047619,4.812222222222222,0.08572771867407727,4.644444444444445,4.977777777777778,3.730674827264239,0.20904527774565734,3.311078431372549,4.123411764705882,2000,108
GPT-4o-mini,Quitting,20,4.148452380952381,0.182618867645712,3.7011011904761904,4.408333333333333,4.734166666666667,0.07610946122950976,4.576645833333333,4.879166666666668,3.727402104341737,0.17850872701907586,3.3743356092436976,4.062541666666666,2000,108
GPT-4o-mini,Quitting,25,4.098761904761904,0.16210802713644032,3.74085,4.366666666666666,4.667333333333333,0.0781672884032145,4.487316666666666,4.800000000000001,3.7300161988795515,0.1632484644844114,3.386759523809524,4.039357142857142,2000,108
GPT-5,Content,5,4.1,0.5984856196793085,3.1,5.0,5.0,0.012300670167784397,5.0,5.0,3.9459435714285713,0.307538283333867,3.2600000000000002,4.466666666666667,2000,108
GPT-5,Content,10,4.35,0.3622724167915026,3.5,4.85,5.0,0.056799887877856184,4.808333333333333,5.0,3.948694880952381,0.223366883438156,3.4583333333333335,4.338386904761904,2000,108
GPT-5,Content,15,4.311111111111111,0.24987009073162839,3.75,4.705694444444443,4.888888888888889,0.0820234095995182,4.705555555555555,5.0,3.9477781746031746,0.1849876153430949,3.5499801587301585,4.277777777777777,2000,108
GPT-5,Content,20,4.283333333333333,0.19578182133068323,3.85,4.620833333333334,4.791666666666667,0.07490871410851613,4.65,4.945833333333334,3.9506541666666664,0.16058626915746435,3.6165952380952375,4.252541666666666,2000,108
GPT-5,Content,25,4.256666666666667,0.1645786240858625,3.9065833333333333,4.556666666666667,4.733333333333333,0.06474620632005158,4.6066666666666665,4.863333333333333,3.949961666666666,0.1429534662596027,3.6500000000000004,4.22,2000,108
