model,model_color,reference_key,reference,comparison_key,comparison,domain,metric,difference,ci_low,ci_high,verdict,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed,baseline_key,baseline
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,0.00111358574610243,-0.01781786851991167,0.020044543429844075,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,macro_f1,-0.0018507651559351579,-0.017469520763122366,0.013646345661972224,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,qwk,-0.014620011167509106,-0.05915474441058686,0.03189272692719909,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_accuracy,0.015590200445434244,-0.0033407572383074013,0.03551707978788996,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_macro_f1,0.013446799973407919,-0.00482257434898668,0.03283775977007564,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,accuracy,0.0011135857461024856,-0.025583982202447147,0.02692762830094656,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,macro_f1,-0.025240381768683956,-0.04980910303845453,-0.0006141599901131583,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,qwk,-0.023070594816004597,-0.05959414569671014,0.01600559578200921,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_accuracy,0.03674832962138086,0.004459308807134908,0.06815833052129032,comparison better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_macro_f1,-0.0012897079059456251,-0.030635417956903083,0.029268738973566334,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,accuracy,0.003340757238307346,-0.022346726190476167,0.031183013773624802,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,macro_f1,-0.022331822546396207,-0.04712138930673692,0.0038710106326745037,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,qwk,-0.013148671944924528,-0.05514123838959378,0.029603219920462394,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_accuracy,0.024498886414253906,-0.005574136008918651,0.057906458797327365,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_macro_f1,-0.0025805007070974217,-0.03735747518755523,0.03177886071060007,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,accuracy,-0.0022271714922049157,-0.023487527824453305,0.017878095929232358,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,macro_f1,-0.008355667301073066,-0.02516015825301068,0.007704725430190515,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,qwk,-0.05435053712936899,-0.10877091493028063,0.0006793689935519926,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,directional_accuracy,0.007795100222717122,-0.014460511679644017,0.028921023359288037,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,directional_macro_f1,-0.013978031831194337,-0.035220052305593844,0.0063059956223036635,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,accuracy,-0.005567928730512206,-0.03893214682981089,0.027839643652561252,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,macro_f1,-0.03236691214883505,-0.059027939987905675,-0.005945809734391499,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,qwk,-0.1128449617758176,-0.159224090188991,-0.06580846385707775,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,directional_accuracy,0.032293986636971084,-0.007778210838901256,0.0733333333333333,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,directional_macro_f1,-0.03274256524698521,-0.0702509732669065,0.004293792589082687,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,accuracy,-0.018930957683741645,-0.05011135857461024,0.014476614699331813,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,macro_f1,-0.04553939746305463,-0.07590797735382966,-0.015443149613003866,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,qwk,-0.12441970851440154,-0.1764628609683637,-0.07484761285744557,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,directional_accuracy,-0.012249443207126953,-0.048898469578200855,0.026840468304323132,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,directional_macro_f1,-0.055596671554874466,-0.09145245885313594,-0.018046898946196935,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,accuracy,-0.016703786191536785,-0.038050603431598704,0.005601264295709966,comparable,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,macro_f1,-0.05069662973960108,-0.0687759582366946,-0.03247000710544643,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,qwk,-0.13220451772126396,-0.18401598008154352,-0.07903858728742538,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,directional_accuracy,0.031180400890868598,0.008898776418242438,0.05327413984461704,comparison better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,directional_macro_f1,-0.0345677527910474,-0.057081967330137394,-0.011674303181483322,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,accuracy,-0.041202672605790636,-0.07134894091415828,-0.01226309921962096,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,macro_f1,-0.055949310194976676,-0.08401151434351778,-0.02865647365616579,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,qwk,-0.13250109050759085,-0.18180191959554595,-0.08255736774255443,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,directional_accuracy,-0.04899777282850776,-0.08584169453734669,-0.012221883092859811,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,directional_macro_f1,-0.07955654752020752,-0.1181687224167559,-0.041261077946110385,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,accuracy,-0.06904231625835189,-0.1056759118644572,-0.032221328153903064,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,macro_f1,-0.07623975941979813,-0.109477635941212,-0.043110966330172786,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,qwk,-0.19755040146407243,-0.2629174533469445,-0.12963222924747014,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,directional_accuracy,-0.12138084632516705,-0.166113887810559,-0.07572172495546896,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,directional_macro_f1,-0.11541438444934043,-0.16153133040509432,-0.0646284837619083,reference better,2000,participant,301,898,20260919,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,-0.018930957683741645,-0.045607498804660467,0.007769361203600916,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
