model,model_color,condition_key,condition,domain,metric,estimate,ci_low,ci_high,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Content,accuracy,0.3429844097995546,0.3076923076923077,0.37750926951263514,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Content,macro_f1,0.17034852233099546,0.15174925254058524,0.18862642657365006,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Content,qwk,0.13945750259536294,0.083568881906547,0.1924650014335385,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Content,directional_accuracy,0.611358574610245,0.5733296089385476,0.6503340757238307,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Content,directional_macro_f1,0.32988133428847294,0.30851127958394775,0.3522513984791975,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Coping,accuracy,0.26057906458797325,0.23025363377060792,0.29227323628219487,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Coping,macro_f1,0.18645361119243972,0.163164254956473,0.21160668756181034,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Coping,qwk,0.16386011096335118,0.11790500605430898,0.20852436856335568,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Coping,directional_accuracy,0.35412026726057905,0.3236208473310937,0.3871030396333822,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Coping,directional_macro_f1,0.33125089421388115,0.2984121801679751,0.36424436489386375,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Quitting,accuracy,0.29398663697104677,0.2611607142857143,0.32664492753623187,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Quitting,macro_f1,0.22397975711692383,0.19511369870661133,0.25155777884541675,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Quitting,qwk,0.24824768012713183,0.18757633822017616,0.30510307650604135,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Quitting,directional_accuracy,0.4621380846325167,0.42423904220779224,0.4983277591973244,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,Quitting,directional_macro_f1,0.41768326057644806,0.37704604426569627,0.4559878022251598,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,0.344097995545657,0.30992196209587514,0.379739420935412,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,macro_f1,0.1684977571750603,0.1499434574124569,0.18762089002477647,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,qwk,0.12483749142785383,0.07457499780542419,0.17649951897073038,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_accuracy,0.6269487750556793,0.59,0.6655611503824924,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_macro_f1,0.34332813426188086,0.3215455739551155,0.36676713595399596,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,accuracy,0.26169265033407574,0.23162583518930957,0.2912981499781503,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,macro_f1,0.16121322942375577,0.14327284962394812,0.18025487859996672,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,qwk,0.14078951614734658,0.09556780546479945,0.18674327131707855,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_accuracy,0.3908685968819599,0.36080178173719374,0.42333758314855874,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_macro_f1,0.32996118630793553,0.2991493070072025,0.36330150887221985,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,accuracy,0.2973273942093541,0.26718041224343175,0.3288888888888889,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,macro_f1,0.20164793457052763,0.1773463792977793,0.22390718270818186,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,qwk,0.2350990081822073,0.17385993427525462,0.2905071462543734,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_accuracy,0.4866369710467706,0.45038741802283216,0.5235519224150401,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_macro_f1,0.41510275986935063,0.3745381751669781,0.4517906178647636,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,accuracy,0.34075723830734966,0.30759984903065724,0.37486790107148277,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,macro_f1,0.1619928550299224,0.1439250342621512,0.18004626317366418,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,qwk,0.08510696546599394,0.026853236359534752,0.1430708931908837,2000,participant,301,898,20260919
