model,domain,metric,best_condition_key,best_condition,best_estimate,ranking,comparable_to_best,significantly_worse_than_best,n_significant_pairs,significant_pairs
GPT-4o-mini,Content,accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.344097995545657,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.001 [-0.018, +0.020]); History + ratings only (+0.003 [-0.017, +0.023]); History text only (+0.018 [-0.002, +0.039])",none,0,none
GPT-4o-mini,Content,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.17034852233099546,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.002 [-0.014, +0.017]); History + ratings only (+0.008 [-0.008, +0.025])","History text only (+0.051 [+0.032, +0.069])",3,PP + history + CBT/ACT > History text only (+0.051); PP + history (no CBT/ACT) > History text only (+0.049); History + ratings only > History text only (+0.042)
GPT-4o-mini,Content,qwk,pp_cbtact,PP + history + CBT/ACT,0.13945750259536294,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.015 [-0.032, +0.059]); History + ratings only (+0.054 [-0.001, +0.109])","History text only (+0.132 [+0.079, +0.184])",3,PP + history + CBT/ACT > History text only (+0.132); PP + history (no CBT/ACT) > History text only (+0.118); History + ratings only > History text only (+0.078)
GPT-4o-mini,Content,directional_accuracy,history_text_only,History text only,0.6425389755011136,History text only > PP + history (no CBT/ACT) > History + ratings only > PP + history + CBT/ACT,"PP + history (no CBT/ACT) (+0.016 [-0.006, +0.036])","PP + history + CBT/ACT (+0.031 [+0.009, +0.053]); History + ratings only (+0.023 [+0.006, +0.042])",2,History text only > PP + history + CBT/ACT (+0.031); History text only > History + ratings only (+0.023)
GPT-4o-mini,Content,directional_macro_f1,full_pp_no_cbtact,PP + history (no CBT/ACT),0.34332813426188086,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.013 [-0.005, +0.033])","History + ratings only (+0.027 [+0.008, +0.048]); History text only (+0.048 [+0.026, +0.070])",3,PP + history + CBT/ACT > History text only (+0.035); PP + history (no CBT/ACT) > History + ratings only (+0.027); PP + history (no CBT/ACT) > History text only (+0.048)
GPT-4o-mini,Coping,accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.26169265033407574,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.001 [-0.026, +0.027]); History + ratings only (+0.007 [-0.013, +0.028])","History text only (+0.042 [+0.018, +0.067])",3,PP + history + CBT/ACT > History text only (+0.041); PP + history (no CBT/ACT) > History text only (+0.042); History + ratings only > History text only (+0.036)
GPT-4o-mini,Coping,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.18645361119243972,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,none,"PP + history (no CBT/ACT) (+0.025 [+0.001, +0.050]); History + ratings only (+0.032 [+0.006, +0.059]); History text only (+0.056 [+0.029, +0.084])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.025); PP + history + CBT/ACT > History + ratings only (+0.032); PP + history + CBT/ACT > History text only (+0.056); PP + history (no CBT/ACT) > History text only (+0.031); History + ratings only > History text only (+0.024)
GPT-4o-mini,Coping,qwk,pp_cbtact,PP + history + CBT/ACT,0.16386011096335118,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.023 [-0.016, +0.060])","History + ratings only (+0.113 [+0.066, +0.159]); History text only (+0.133 [+0.083, +0.182])",4,PP + history + CBT/ACT > History + ratings only (+0.113); PP + history + CBT/ACT > History text only (+0.133); PP + history (no CBT/ACT) > History + ratings only (+0.090); PP + history (no CBT/ACT) > History text only (+0.109)
GPT-4o-mini,Coping,directional_accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.3908685968819599,PP + history (no CBT/ACT) > History + ratings only > PP + history + CBT/ACT > History text only,"History + ratings only (+0.004 [-0.022, +0.030])","PP + history + CBT/ACT (+0.037 [+0.004, +0.068]); History text only (+0.086 [+0.054, +0.117])",4,PP + history (no CBT/ACT) > PP + history + CBT/ACT (+0.037); PP + history + CBT/ACT > History text only (+0.049); PP + history (no CBT/ACT) > History text only (+0.086); History + ratings only > History text only (+0.081)
GPT-4o-mini,Coping,directional_macro_f1,pp_cbtact,PP + history + CBT/ACT,0.33125089421388115,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.001 [-0.029, +0.031]); History + ratings only (+0.033 [-0.004, +0.070])","History text only (+0.080 [+0.041, +0.118])",4,PP + history + CBT/ACT > History text only (+0.080); PP + history (no CBT/ACT) > History + ratings only (+0.031); PP + history (no CBT/ACT) > History text only (+0.078); History + ratings only > History text only (+0.047)
