model,condition_key,condition,domain,kind,value,count,proportion
Observed,observed,Observed,Content,rating,1,28,0.031180400890868598
Observed,observed,Observed,Content,rating,2,56,0.062360801781737196
Observed,observed,Observed,Content,rating,3,202,0.22494432071269488
Observed,observed,Observed,Content,rating,4,300,0.33407572383073497
Observed,observed,Observed,Content,rating,5,312,0.34743875278396436
Observed,observed,Observed,Coping,rating,1,88,0.09799554565701558
Observed,observed,Observed,Coping,rating,2,94,0.10467706013363029
Observed,observed,Observed,Coping,rating,3,163,0.18151447661469933
Observed,observed,Observed,Coping,rating,4,284,0.31625835189309576
Observed,observed,Observed,Coping,rating,5,269,0.29955456570155903
Observed,observed,Observed,Quitting,rating,1,89,0.09910913140311804
Observed,observed,Observed,Quitting,rating,2,95,0.10579064587973273
Observed,observed,Observed,Quitting,rating,3,160,0.17817371937639198
Observed,observed,Observed,Quitting,rating,4,273,0.3040089086859688
Observed,observed,Observed,Quitting,rating,5,281,0.3129175946547884
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,rating,1,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,rating,2,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,rating,3,186,0.2071269487750557
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,rating,4,686,0.7639198218262806
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,rating,5,26,0.028953229398663696
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,-4,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,-3,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,-2,50,0.0556792873051225
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,-1,296,0.32962138084632514
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,0,308,0.3429844097995546
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,1,183,0.20378619153674832
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,2,44,0.04899777282850779
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,3,17,0.01893095768374165
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Content,signed_error,4,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,rating,1,2,0.0022271714922048997
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,rating,2,82,0.09131403118040089
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,rating,3,605,0.6737193763919822
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,rating,4,202,0.22494432071269488
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,rating,5,7,0.0077951002227171495
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-4,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-3,14,0.015590200445434299
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-2,203,0.22605790645879734
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-1,252,0.2806236080178174
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,0,234,0.26057906458797325
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,1,117,0.13028953229398663
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,2,73,0.08129175946547884
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,3,5,0.005567928730512249
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Coping,signed_error,4,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,rating,1,3,0.0033407572383073497
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,rating,2,100,0.111358574610245
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,rating,3,449,0.5
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,rating,4,326,0.36302895322939865
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,rating,5,20,0.022271714922048998
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-4,0,0.0
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-3,14,0.015590200445434299
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-2,157,0.17483296213808464
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-1,253,0.2817371937639198
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,0,264,0.29398663697104677
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,1,126,0.1403118040089087
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,2,71,0.07906458797327394
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,3,13,0.014476614699331848
GPT-4o-mini,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,1,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,2,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,3,175,0.19487750556792874
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,4,705,0.7850779510022272
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,5,18,0.0200445434298441
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-3,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-2,44,0.04899777282850779
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-1,306,0.34075723830734966
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,0,309,0.344097995545657
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,1,173,0.19265033407572382
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,2,48,0.053452115812917596
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,3,18,0.0200445434298441
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,1,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,2,56,0.062360801781737196
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,3,540,0.6013363028953229
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,4,301,0.3351893095768374
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,5,1,0.0011135857461024498
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-3,18,0.0200445434298441
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-2,157,0.17483296213808464
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-1,264,0.29398663697104677
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,0,235,0.26169265033407574
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,1,128,0.14253897550111358
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,2,89,0.09910913140311804
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,3,7,0.0077951002227171495
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,1,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,2,72,0.0801781737193764
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,3,423,0.4710467706013363
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,4,394,0.43875278396436523
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,5,9,0.01002227171492205
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-4,0,0.0
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-3,11,0.012249443207126948
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-2,127,0.14142538975501115
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-1,271,0.30178173719376394
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,0,267,0.2973273942093541
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,1,123,0.13697104677060135
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,2,84,0.0935412026726058
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,3,15,0.01670378619153675
GPT-4o-mini,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,4,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Content,rating,1,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Content,rating,2,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Content,rating,3,140,0.155902004454343
GPT-4o-mini,history_ratings_only,History + ratings,Content,rating,4,728,0.8106904231625836
GPT-4o-mini,history_ratings_only,History + ratings,Content,rating,5,30,0.0334075723830735
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,-4,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,-3,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,-2,41,0.045657015590200446
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,-1,293,0.3262806236080178
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,0,306,0.34075723830734966
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,1,187,0.20824053452115812
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,2,51,0.05679287305122494
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,3,18,0.0200445434298441
GPT-4o-mini,history_ratings_only,History + ratings,Content,signed_error,4,2,0.0022271714922048997
GPT-4o-mini,history_ratings_only,History + ratings,Coping,rating,1,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Coping,rating,2,36,0.0400890868596882
GPT-4o-mini,history_ratings_only,History + ratings,Coping,rating,3,476,0.5300668151447662
GPT-4o-mini,history_ratings_only,History + ratings,Coping,rating,4,386,0.4298440979955457
GPT-4o-mini,history_ratings_only,History + ratings,Coping,rating,5,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,-4,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,-3,11,0.012249443207126948
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,-2,153,0.17037861915367483
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,-1,258,0.2873051224944321
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,0,229,0.25501113585746105
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,1,122,0.1358574610244989
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,2,102,0.11358574610244988
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,3,23,0.025612472160356347
GPT-4o-mini,history_ratings_only,History + ratings,Coping,signed_error,4,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,rating,1,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,rating,2,54,0.060133630289532294
