,,,Accuracy,Accuracy,Acc±1,Acc±1,Kappa,Kappa
,,,mean,std,mean,std,mean,std
Model,Method,Domain,,,,,,
DeepSeek-R1,Continuous (NL),Content,0.35036496350364965,,0.8248175182481752,,0.04235307977772984,
DeepSeek-R1,Continuous (NL),Coping,0.2846715328467153,,0.7262773722627737,,0.036975935157622986,
DeepSeek-R1,Continuous (NL),Quitting,0.2116788321167883,,0.5218978102189781,,0.04228360600029135,
DeepSeek-R1,Zero-shot (all),Content,0.3357664233576642,,0.8832116788321168,,0.005682611209698152,
DeepSeek-R1,Zero-shot (all),Coping,0.24452554744525548,,0.6751824817518248,,0.01695091514143099,
DeepSeek-R1,Zero-shot (all),Quitting,0.16058394160583941,,0.4781021897810219,,0.024820500123793,
DeepSeek-R1,Zero-shot (select),Content,0.3686131386861314,,0.864963503649635,,0.038927861806090425,
DeepSeek-R1,Zero-shot (select),Coping,0.2846715328467153,,0.7737226277372263,,0.01124919451348616,
DeepSeek-R1,Zero-shot (select),Quitting,0.24087591240875914,,0.6021897810218978,,0.0543572044866264,
GPT-4o-mini,Continuous (NL),Content,0.33941605839416056,,0.8357664233576643,,0.024469884731893377,
GPT-4o-mini,Continuous (NL),Coping,0.291970802919708,,0.7700729927007299,,0.011970260223048257,
GPT-4o-mini,Continuous (NL),Quitting,0.2737226277372263,,0.7445255474452555,,0.041317954849145355,
GPT-4o-mini,Digital Twin (70/30),Content,0.4161490683229814,,0.9099378881987578,,0.11425854122466894,
GPT-4o-mini,Digital Twin (70/30),Coping,0.3281733746130031,,0.7894736842105263,,0.10867657718376844,
GPT-4o-mini,Digital Twin (70/30),Quitting,0.32507739938080493,,0.8142414860681114,,0.0954473048661425,
GPT-4o-mini,Few-shot (all),Content,0.35036496350364965,,0.8941605839416058,,0.005667686034658503,
GPT-4o-mini,Few-shot (all),Coping,0.25547445255474455,,0.7372262773722628,,-0.008516166281755222,
GPT-4o-mini,Few-shot (all),Quitting,0.291970802919708,,0.7299270072992701,,0.056899029505171894,
GPT-4o-mini,Few-shot (select),Content,0.3284671532846715,,0.8795620437956204,,-0.011374350538626565,
GPT-4o-mini,Few-shot (select),Coping,0.3029197080291971,,0.7700729927007299,,0.05214351692536179,
GPT-4o-mini,Few-shot (select),Quitting,0.3284671532846715,,0.7007299270072993,,0.09229051888660833,
GPT-4o-mini,Zero-shot (all),Content,0.36496350364963503,,0.916058394160584,,0.003969414615802469,
GPT-4o-mini,Zero-shot (all),Coping,0.2846715328467153,,0.7372262773722628,,0.016842413591095395,
GPT-4o-mini,Zero-shot (all),Quitting,0.2518248175182482,,0.7627737226277372,,-0.02140272398305232,
GPT-4o-mini,Zero-shot (select),Content,0.38686131386861317,,0.8832116788321168,,0.048178321822919035,
