Model,Method,Domain,N,Split,Source_File,Bootstrap_N,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_SE
GPT-4o-mini,Zero-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.38562091503267976,0.3333333333333333,0.43790849673202614,0.02750998202727254
GPT-5,Zero-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.4019607843137255,0.34959150326797384,0.45751633986928103,0.02847965500579673
DeepSeek-R1,Zero-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.3006535947712418,0.24836601307189543,0.34967320261437906,0.0258317471857934
Grok-4-Fast,Zero-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.39869281045751637,0.3464052287581699,0.4542483660130719,0.02775081595320565
Gemini-2.5-Pro,Zero-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.39215686274509803,0.3366013071895425,0.4445261437908492,0.02803833600293769
GPT-4o-mini,Few-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.369281045751634,0.3137254901960784,0.42483660130718953,0.02757172301793366
GPT-5,Few-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.4019607843137255,0.3464052287581699,0.4542483660130719,0.0283419307226089
DeepSeek-R1,Few-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.3137254901960784,0.26143790849673204,0.3627450980392157,0.02655243377053029
Grok-4-Fast,Few-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.39869281045751637,0.3464052287581699,0.45098039215686275,0.0270557666280336
Gemini-2.5-Pro,Few-shot (all),Content,306,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.3660130718954248,0.3137254901960784,0.4215686274509804,0.027578885324956136
GPT-4o-mini,PP,Content,306,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.41830065359477125,0.3660130718954248,0.4738562091503268,0.027443475614421592
GPT-5,PP,Content,306,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.45751633986928103,0.4019607843137255,0.5098039215686274,0.02845211853909463
DeepSeek-R1,PP,Content,306,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.434640522875817,0.38235294117647056,0.49019607843137253,0.028606392292484534
Grok-4-Fast,PP,Content,306,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.4869281045751634,0.42810457516339867,0.545751633986928,0.02902209215151712
Gemini-2.5-Pro,PP,Content,306,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.42810457516339867,0.37254901960784315,0.48366013071895425,0.02876638249267492
GPT-4o-mini,Hybrid RF+PP,Content,306,digital_twin_7030_cleaned,hybrid,2000,0.42810457516339867,0.37254901960784315,0.48366013071895425,0.027841750889045856
GPT-5,Hybrid RF+PP,Content,306,digital_twin_7030_cleaned,hybrid,2000,0.4738562091503268,0.41830065359477125,0.5294117647058824,0.027985651538003562
DeepSeek-R1,Hybrid RF+PP,Content,302,digital_twin_7030_cleaned,hybrid,2000,0.3344370860927152,0.2814569536423841,0.38741721854304634,0.027122553815029524
Grok-4-Fast,Hybrid RF+PP,Content,306,digital_twin_7030_cleaned,hybrid,2000,0.4738562091503268,0.41830065359477125,0.5294117647058824,0.028521981369827788
Gemini-2.5-Pro,Hybrid RF+PP,Content,306,digital_twin_7030_cleaned,hybrid,2000,0.41830065359477125,0.3659313725490196,0.4738562091503268,0.028336810793741327
GPT-4o-mini,Zero-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.254071661237785,0.20846905537459284,0.30618892508143325,0.024876566484812197
GPT-5,Zero-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.24104234527687296,0.19543973941368079,0.2899022801302932,0.024062421938047383
DeepSeek-R1,Zero-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.20521172638436483,0.16286644951140064,0.250814332247557,0.023223666963280938
Grok-4-Fast,Zero-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.3127035830618892,0.26058631921824105,0.36482084690553745,0.026927596378922756
Gemini-2.5-Pro,Zero-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.2899022801302932,0.24104234527687296,0.34201954397394135,0.025809746179770894
GPT-4o-mini,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.26384364820846906,0.21498371335504887,0.3127035830618892,0.02470804359020976
GPT-5,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.24104234527687296,0.19543973941368079,0.2899022801302932,0.024423202847757564
DeepSeek-R1,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.2182410423452769,0.17263843648208468,0.2671009771986971,0.023768544988510255
Grok-4-Fast,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.32247557003257327,0.2736156351791531,0.3713355048859935,0.02573163929107355
Gemini-2.5-Pro,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.24104234527687296,0.19543973941368079,0.2867263843648204,0.023832065897410236
GPT-4o-mini,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.31921824104234525,0.2671009771986971,0.3713355048859935,0.02685432614175458
GPT-5,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.3713355048859935,0.31921824104234525,0.42671009771986973,0.02711712659759869
