Model,Domain,K,Overlap Count,Overlap %,CI Lower,CI Upper,N Messages
GPT-4o-mini,Content,5,1,20.0,0.0,2.0,108
GPT-4o-mini,Content,10,2,20.0,0.0,2.0,108
GPT-4o-mini,Content,15,3,20.0,0.0,4.0,108
GPT-4o-mini,Content,20,5,25.0,2.0,7.0,108
GPT-4o-mini,Content,25,8,32.0,3.0,10.0,108
GPT-4o-mini,Coping,5,1,20.0,0.0,2.0,108
GPT-4o-mini,Coping,10,3,30.0,0.0,3.0,108
GPT-4o-mini,Coping,15,3,20.0,1.0,5.0,108
GPT-4o-mini,Coping,20,5,25.0,2.0,7.0,108
GPT-4o-mini,Coping,25,10,40.0,3.0,9.0,108
GPT-4o-mini,Quitting,5,2,40.0,0.0,2.0,108
GPT-4o-mini,Quitting,10,3,30.0,0.0,4.0,108
GPT-4o-mini,Quitting,15,5,33.33333333333333,2.0,7.0,108
GPT-4o-mini,Quitting,20,8,40.0,3.0,9.0,108
GPT-4o-mini,Quitting,25,11,44.0,5.0,11.0,108
GPT-5,Content,5,0,0.0,0.0,3.0,108
GPT-5,Content,10,4,40.0,1.0,4.0,108
GPT-5,Content,15,6,40.0,2.0,7.0,108
GPT-5,Content,20,10,50.0,4.0,9.0,108
GPT-5,Content,25,13,52.0,5.0,11.0,108
GPT-5,Coping,5,1,20.0,0.0,1.0,108
GPT-5,Coping,10,1,10.0,0.0,3.0,108
GPT-5,Coping,15,4,26.666666666666668,1.0,6.0,108
GPT-5,Coping,20,7,35.0,3.0,9.0,108
GPT-5,Coping,25,10,40.0,5.0,11.0,108
GPT-5,Quitting,5,1,20.0,0.0,3.0,108
GPT-5,Quitting,10,5,50.0,1.9750000000000014,5.0,108
GPT-5,Quitting,15,7,46.666666666666664,3.0,7.0,108
GPT-5,Quitting,20,9,45.0,4.0,10.0,108
GPT-5,Quitting,25,11,44.0,6.0,13.0,108
DeepSeek-R1,Content,5,0,0.0,0.0,2.0,108
DeepSeek-R1,Content,10,3,30.0,0.0,3.0,108
DeepSeek-R1,Content,15,3,20.0,1.0,5.0,108
DeepSeek-R1,Content,20,6,30.0,2.0,6.0,108
DeepSeek-R1,Content,25,8,32.0,3.0,8.0,108
DeepSeek-R1,Coping,5,0,0.0,0.0,1.0,108
DeepSeek-R1,Coping,10,1,10.0,0.0,3.0,108
DeepSeek-R1,Coping,15,2,13.333333333333334,1.0,6.0,108
DeepSeek-R1,Coping,20,8,40.0,2.0,8.0,108
DeepSeek-R1,Coping,25,10,40.0,4.0,11.0,108
DeepSeek-R1,Quitting,5,0,0.0,0.0,2.0,108
DeepSeek-R1,Quitting,10,3,30.0,0.0,4.0,108
DeepSeek-R1,Quitting,15,5,33.33333333333333,2.0,6.0,108
DeepSeek-R1,Quitting,20,10,50.0,3.0,9.0,108
DeepSeek-R1,Quitting,25,12,48.0,5.0,12.0,108
Grok-4-Fast,Content,5,1,20.0,0.0,3.0,108
Grok-4-Fast,Content,10,3,30.0,1.0,5.0,108
Grok-4-Fast,Content,15,8,53.333333333333336,3.0,8.0,108
Grok-4-Fast,Content,20,11,55.00000000000001,4.0,9.0,108
Grok-4-Fast,Content,25,14,56.00000000000001,5.975000000000001,11.0,108
Grok-4-Fast,Coping,5,1,20.0,0.0,2.0,108
Grok-4-Fast,Coping,10,2,20.0,0.0,4.0,108
Grok-4-Fast,Coping,15,3,20.0,1.0,6.024999999999977,108
Grok-4-Fast,Coping,20,9,45.0,3.0,9.0,108
Grok-4-Fast,Coping,25,13,52.0,6.0,12.0,108
Grok-4-Fast,Quitting,5,1,20.0,0.0,2.0,108
Grok-4-Fast,Quitting,10,4,40.0,1.0,5.0,108
Grok-4-Fast,Quitting,15,6,40.0,2.9750000000000014,7.0,108
Grok-4-Fast,Quitting,20,12,60.0,4.0,10.0,108
Grok-4-Fast,Quitting,25,13,52.0,6.0,13.0,108
Gemini-2.5-Pro,Content,5,0,0.0,0.0,3.0,108
Gemini-2.5-Pro,Content,10,3,30.0,1.0,5.0,108
Gemini-2.5-Pro,Content,15,6,40.0,2.0,7.0,108
Gemini-2.5-Pro,Content,20,10,50.0,3.0,9.0,108
Gemini-2.5-Pro,Content,25,12,48.0,4.0,10.0,108
Gemini-2.5-Pro,Coping,5,2,40.0,0.0,2.0,108
Gemini-2.5-Pro,Coping,10,3,30.0,0.0,3.0,108
Gemini-2.5-Pro,Coping,15,5,33.33333333333333,2.0,7.0,108
Gemini-2.5-Pro,Coping,20,8,40.0,3.0,10.0,108
Gemini-2.5-Pro,Coping,25,13,52.0,6.0,12.0,108
Gemini-2.5-Pro,Quitting,5,2,40.0,0.0,3.0,108
Gemini-2.5-Pro,Quitting,10,4,40.0,1.0,5.0,108
Gemini-2.5-Pro,Quitting,15,7,46.666666666666664,3.0,7.0,108
Gemini-2.5-Pro,Quitting,20,10,50.0,4.0,10.0,108
Gemini-2.5-Pro,Quitting,25,13,52.0,6.0,12.0,108
