Model,Method,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
GPT-4o-mini,Zero-shot (all),Content,0.3826,0.1373,0.0275,0.0345,0.7383,0.3182,,298
GPT-4o-mini,Zero-shot (select),Content,0.4262,0.2053,0.1008,0.0825,0.7383,0.3277,,298
GPT-4o-mini,Few-shot (all),Content,0.3691,0.1914,0.0223,0.1136,0.7081,0.3189,,298
GPT-4o-mini,Few-shot (select),Content,0.3758,0.2119,0.0465,0.1083,0.6913,0.3469,,298
GPT-4o-mini,PP,Content,0.4228,0.2337,0.1286,0.2507,0.7416,0.4158,,298
GPT-4o-mini,Hybrid RF+PP,Content,0.4262,0.2488,0.1511,0.2672,0.7013,0.3996,,298
GPT-5,Zero-shot (all),Content,0.3993,0.2030,0.0760,0.1389,0.7148,0.3476,,298
GPT-5,Zero-shot (select),Content,0.3859,0.1829,0.0559,0.0933,0.7081,0.3247,,298
GPT-5,Few-shot (all),Content,0.3960,0.2421,0.0978,0.1390,0.6745,0.3781,,298
GPT-5,Few-shot (select),Content,0.3389,0.2126,0.0305,0.1160,0.6309,0.3617,,298
GPT-5,PP,Content,0.4597,0.3283,0.2193,0.3437,0.6812,0.4668,,298
GPT-5,Hybrid RF+PP,Content,0.4732,0.3418,0.2457,0.3695,0.7215,0.5669,,298
DeepSeek-R1,Zero-shot (all),Content,0.2987,0.1618,-0.0064,0.0170,0.5604,0.3295,,298
DeepSeek-R1,Zero-shot (select),Content,0.3658,0.2306,0.0405,0.1405,0.7013,0.4029,,298
DeepSeek-R1,Few-shot (all),Content,0.3121,0.2317,0.0402,0.0806,0.5369,0.3442,,298
DeepSeek-R1,Few-shot (select),Content,0.3188,0.2245,0.0313,0.1180,0.6040,0.3771,,298
DeepSeek-R1,PP,Content,0.4430,0.3059,0.2117,0.2881,0.6644,0.4915,,298
DeepSeek-R1,Hybrid RF+PP,Content,0.3356,0.2259,0.0732,0.2631,0.5872,0.3908,,298
Grok-4-Fast,Zero-shot (all),Content,0.3993,0.1906,0.0557,0.0813,0.7248,0.2922,,298
Grok-4-Fast,Zero-shot (select),Content,0.4228,0.1959,0.0935,0.1105,0.7215,0.2805,,298
Grok-4-Fast,Few-shot (all),Content,0.3960,0.2300,0.0752,0.1673,0.7047,0.3364,,298
Grok-4-Fast,Few-shot (select),Content,0.3926,0.2514,0.0788,0.1799,0.7013,0.3906,,298
Grok-4-Fast,PP,Content,0.4933,0.3121,0.2465,0.3313,0.7215,0.4573,,298
Grok-4-Fast,Hybrid RF+PP,Content,0.4765,0.3222,0.2076,0.3262,0.7517,0.4717,,298
