Model,Method,Domain,Accuracy,Series
GPT-4o-mini,Zero-shot (all),Content,0.3826,LLM
GPT-4o-mini,Zero-shot (select),Content,0.4262,LLM
GPT-4o-mini,Few-shot (all),Content,0.3691,LLM
GPT-4o-mini,Few-shot (select),Content,0.3758,LLM
GPT-4o-mini,PP,Content,0.4228,LLM
GPT-4o-mini,Hybrid RF+PP,Content,0.4262,LLM
GPT-5,Zero-shot (all),Content,0.3993,LLM
GPT-5,Zero-shot (select),Content,0.3859,LLM
GPT-5,Few-shot (all),Content,0.3960,LLM
GPT-5,Few-shot (select),Content,0.3389,LLM
GPT-5,PP,Content,0.4597,LLM
GPT-5,Hybrid RF+PP,Content,0.4732,LLM
DeepSeek-R1,Zero-shot (all),Content,0.2987,LLM
DeepSeek-R1,Zero-shot (select),Content,0.3658,LLM
DeepSeek-R1,Few-shot (all),Content,0.3121,LLM
DeepSeek-R1,Few-shot (select),Content,0.3188,LLM
DeepSeek-R1,PP,Content,0.4430,LLM
DeepSeek-R1,Hybrid RF+PP,Content,0.3356,LLM
Grok-4-Fast,Zero-shot (all),Content,0.3993,LLM
Grok-4-Fast,Zero-shot (select),Content,0.4228,LLM
Grok-4-Fast,Few-shot (all),Content,0.3960,LLM
Grok-4-Fast,Few-shot (select),Content,0.3926,LLM
Grok-4-Fast,PP,Content,0.4933,LLM
Grok-4-Fast,Hybrid RF+PP,Content,0.4765,LLM
Gemini-2.5-Pro,Zero-shot (all),Content,0.3893,LLM
Gemini-2.5-Pro,Zero-shot (select),Content,0.3960,LLM
Gemini-2.5-Pro,Few-shot (all),Content,0.3658,LLM
Gemini-2.5-Pro,Few-shot (select),Content,0.3792,LLM
Gemini-2.5-Pro,PP,Content,0.4295,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Content,0.4195,LLM
GPT-4o-mini,Zero-shot (all),Coping,0.2475,LLM
GPT-4o-mini,Zero-shot (select),Coping,0.2742,LLM
GPT-4o-mini,Few-shot (all),Coping,0.2542,LLM
GPT-4o-mini,Few-shot (select),Coping,0.2910,LLM
GPT-4o-mini,PP,Coping,0.3077,LLM
GPT-4o-mini,Hybrid RF+PP,Coping,0.3445,LLM
GPT-5,Zero-shot (all),Coping,0.2375,LLM
GPT-5,Zero-shot (select),Coping,0.2843,LLM
GPT-5,Few-shot (all),Coping,0.2408,LLM
GPT-5,Few-shot (select),Coping,0.2542,LLM
GPT-5,PP,Coping,0.3746,LLM
GPT-5,Hybrid RF+PP,Coping,0.4281,LLM
DeepSeek-R1,Zero-shot (all),Coping,0.1973,LLM
DeepSeek-R1,Zero-shot (select),Coping,0.2809,LLM
DeepSeek-R1,Few-shot (all),Coping,0.2174,LLM
