Model,Method,Domain,Directional Accuracy,Series
GPT-4o-mini,Zero-shot (all),Content,0.7383,LLM
GPT-4o-mini,Zero-shot (select),Content,0.7383,LLM
GPT-4o-mini,Few-shot (all),Content,0.7081,LLM
GPT-4o-mini,Few-shot (select),Content,0.6913,LLM
GPT-4o-mini,PP,Content,0.7416,LLM
GPT-4o-mini,Hybrid RF+PP,Content,0.7013,LLM
GPT-5,Zero-shot (all),Content,0.7148,LLM
GPT-5,Zero-shot (select),Content,0.7081,LLM
GPT-5,Few-shot (all),Content,0.6745,LLM
GPT-5,Few-shot (select),Content,0.6309,LLM
GPT-5,PP,Content,0.6812,LLM
GPT-5,Hybrid RF+PP,Content,0.7215,LLM
DeepSeek-R1,Zero-shot (all),Content,0.5604,LLM
DeepSeek-R1,Zero-shot (select),Content,0.7013,LLM
DeepSeek-R1,Few-shot (all),Content,0.5369,LLM
DeepSeek-R1,Few-shot (select),Content,0.6040,LLM
DeepSeek-R1,PP,Content,0.6644,LLM
DeepSeek-R1,Hybrid RF+PP,Content,0.5872,LLM
Grok-4-Fast,Zero-shot (all),Content,0.7248,LLM
Grok-4-Fast,Zero-shot (select),Content,0.7215,LLM
Grok-4-Fast,Few-shot (all),Content,0.7047,LLM
Grok-4-Fast,Few-shot (select),Content,0.7013,LLM
Grok-4-Fast,PP,Content,0.7215,LLM
Grok-4-Fast,Hybrid RF+PP,Content,0.7517,LLM
Gemini-2.5-Pro,Zero-shot (all),Content,0.7148,LLM
Gemini-2.5-Pro,Zero-shot (select),Content,0.7248,LLM
Gemini-2.5-Pro,Few-shot (all),Content,0.6376,LLM
Gemini-2.5-Pro,Few-shot (select),Content,0.6711,LLM
Gemini-2.5-Pro,PP,Content,0.6846,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Content,0.7081,LLM
GPT-4o-mini,Zero-shot (all),Coping,0.4482,LLM
GPT-4o-mini,Zero-shot (select),Coping,0.5284,LLM
GPT-4o-mini,Few-shot (all),Coping,0.4080,LLM
GPT-4o-mini,Few-shot (select),Coping,0.4816,LLM
GPT-4o-mini,PP,Coping,0.4916,LLM
GPT-4o-mini,Hybrid RF+PP,Coping,0.5719,LLM
GPT-5,Zero-shot (all),Coping,0.3946,LLM
