Model,Method,Domain,Kappa,Series
GPT-4o-mini,Zero-shot (all),Content,0.0275,LLM
GPT-4o-mini,Zero-shot (select),Content,0.1008,LLM
GPT-4o-mini,Few-shot (all),Content,0.0223,LLM
GPT-4o-mini,Few-shot (select),Content,0.0465,LLM
GPT-4o-mini,PP,Content,0.1286,LLM
GPT-4o-mini,Hybrid RF+PP,Content,0.1511,LLM
GPT-5,Zero-shot (all),Content,0.0760,LLM
GPT-5,Zero-shot (select),Content,0.0559,LLM
GPT-5,Few-shot (all),Content,0.0978,LLM
GPT-5,Few-shot (select),Content,0.0305,LLM
GPT-5,PP,Content,0.2193,LLM
GPT-5,Hybrid RF+PP,Content,0.2457,LLM
DeepSeek-R1,Zero-shot (all),Content,-0.0064,LLM
DeepSeek-R1,Zero-shot (select),Content,0.0405,LLM
DeepSeek-R1,Few-shot (all),Content,0.0402,LLM
DeepSeek-R1,Few-shot (select),Content,0.0313,LLM
DeepSeek-R1,PP,Content,0.2117,LLM
DeepSeek-R1,Hybrid RF+PP,Content,0.0732,LLM
Grok-4-Fast,Zero-shot (all),Content,0.0557,LLM
Grok-4-Fast,Zero-shot (select),Content,0.0935,LLM
Grok-4-Fast,Few-shot (all),Content,0.0752,LLM
Grok-4-Fast,Few-shot (select),Content,0.0788,LLM
Grok-4-Fast,PP,Content,0.2465,LLM
Grok-4-Fast,Hybrid RF+PP,Content,0.2076,LLM
Gemini-2.5-Pro,Zero-shot (all),Content,0.0592,LLM
Gemini-2.5-Pro,Zero-shot (select),Content,0.0722,LLM
Gemini-2.5-Pro,Few-shot (all),Content,0.0823,LLM
Gemini-2.5-Pro,Few-shot (select),Content,0.0892,LLM
Gemini-2.5-Pro,PP,Content,0.1715,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Content,0.1529,LLM
GPT-4o-mini,Zero-shot (all),Coping,-0.0137,LLM
GPT-4o-mini,Zero-shot (select),Coping,-0.0010,LLM
GPT-4o-mini,Few-shot (all),Coping,0.0168,LLM
GPT-4o-mini,Few-shot (select),Coping,0.0602,LLM
GPT-4o-mini,PP,Coping,0.0875,LLM
GPT-4o-mini,Hybrid RF+PP,Coping,0.1234,LLM
GPT-5,Zero-shot (all),Coping,0.0036,LLM
GPT-5,Zero-shot (select),Coping,0.0583,LLM
GPT-5,Few-shot (all),Coping,0.0239,LLM
GPT-5,Few-shot (select),Coping,0.0426,LLM
GPT-5,PP,Coping,0.1642,LLM
GPT-5,Hybrid RF+PP,Coping,0.2410,LLM
DeepSeek-R1,Zero-shot (all),Coping,0.0030,LLM
DeepSeek-R1,Zero-shot (select),Coping,0.0282,LLM
DeepSeek-R1,Few-shot (all),Coping,0.0114,LLM
DeepSeek-R1,Few-shot (select),Coping,0.0246,LLM
DeepSeek-R1,PP,Coping,0.1898,LLM
DeepSeek-R1,Hybrid RF+PP,Coping,0.1827,LLM
Grok-4-Fast,Zero-shot (all),Coping,0.0399,LLM
Grok-4-Fast,Zero-shot (select),Coping,0.0550,LLM
Grok-4-Fast,Few-shot (all),Coping,0.0574,LLM
Grok-4-Fast,Few-shot (select),Coping,0.0841,LLM
Grok-4-Fast,PP,Coping,0.2433,LLM
Grok-4-Fast,Hybrid RF+PP,Coping,0.2065,LLM
Gemini-2.5-Pro,Zero-shot (all),Coping,0.0116,LLM
Gemini-2.5-Pro,Zero-shot (select),Coping,0.0065,LLM
Gemini-2.5-Pro,Few-shot (all),Coping,-0.0021,LLM
Gemini-2.5-Pro,Few-shot (select),Coping,0.0772,LLM
Gemini-2.5-Pro,PP,Coping,0.2456,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Coping,0.2036,LLM
GPT-4o-mini,Zero-shot (all),Quitting,0.0488,LLM
GPT-4o-mini,Zero-shot (select),Quitting,0.0601,LLM
