Model,Method,Domain,QWK,Series
GPT-4o-mini,Zero-shot (all),Content,0.0345,LLM
GPT-4o-mini,Zero-shot (select),Content,0.0825,LLM
GPT-4o-mini,Few-shot (all),Content,0.1136,LLM
GPT-4o-mini,Few-shot (select),Content,0.1083,LLM
GPT-4o-mini,PP,Content,0.2507,LLM
GPT-4o-mini,Hybrid RF+PP,Content,0.2672,LLM
GPT-5,Zero-shot (all),Content,0.1389,LLM
GPT-5,Zero-shot (select),Content,0.0933,LLM
GPT-5,Few-shot (all),Content,0.1390,LLM
GPT-5,Few-shot (select),Content,0.1160,LLM
GPT-5,PP,Content,0.3437,LLM
GPT-5,Hybrid RF+PP,Content,0.3695,LLM
DeepSeek-R1,Zero-shot (all),Content,0.0170,LLM
DeepSeek-R1,Zero-shot (select),Content,0.1405,LLM
DeepSeek-R1,Few-shot (all),Content,0.0806,LLM
DeepSeek-R1,Few-shot (select),Content,0.1180,LLM
DeepSeek-R1,PP,Content,0.2881,LLM
DeepSeek-R1,Hybrid RF+PP,Content,0.2631,LLM
Grok-4-Fast,Zero-shot (all),Content,0.0813,LLM
Grok-4-Fast,Zero-shot (select),Content,0.1105,LLM
Grok-4-Fast,Few-shot (all),Content,0.1673,LLM
Grok-4-Fast,Few-shot (select),Content,0.1799,LLM
Grok-4-Fast,PP,Content,0.3313,LLM
Grok-4-Fast,Hybrid RF+PP,Content,0.3262,LLM
Gemini-2.5-Pro,Zero-shot (all),Content,0.1211,LLM
Gemini-2.5-Pro,Zero-shot (select),Content,0.1618,LLM
Gemini-2.5-Pro,Few-shot (all),Content,0.1788,LLM
Gemini-2.5-Pro,Few-shot (select),Content,0.2015,LLM
Gemini-2.5-Pro,PP,Content,0.2896,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Content,0.2892,LLM
GPT-4o-mini,Zero-shot (all),Coping,0.0768,LLM
GPT-4o-mini,Zero-shot (select),Coping,0.0996,LLM
GPT-4o-mini,Few-shot (all),Coping,0.0933,LLM
GPT-4o-mini,Few-shot (select),Coping,0.1525,LLM
GPT-4o-mini,PP,Coping,0.2526,LLM
GPT-4o-mini,Hybrid RF+PP,Coping,0.3320,LLM
GPT-5,Zero-shot (all),Coping,0.0810,LLM
GPT-5,Zero-shot (select),Coping,0.0939,LLM
GPT-5,Few-shot (all),Coping,0.0874,LLM
GPT-5,Few-shot (select),Coping,0.0904,LLM
GPT-5,PP,Coping,0.3905,LLM
GPT-5,Hybrid RF+PP,Coping,0.4098,LLM
DeepSeek-R1,Zero-shot (all),Coping,0.0220,LLM
DeepSeek-R1,Zero-shot (select),Coping,0.0883,LLM
DeepSeek-R1,Few-shot (all),Coping,0.0792,LLM
DeepSeek-R1,Few-shot (select),Coping,0.1105,LLM
DeepSeek-R1,PP,Coping,0.3886,LLM
DeepSeek-R1,Hybrid RF+PP,Coping,0.3250,LLM
Grok-4-Fast,Zero-shot (all),Coping,0.1004,LLM
Grok-4-Fast,Zero-shot (select),Coping,0.1541,LLM
Grok-4-Fast,Few-shot (all),Coping,0.1234,LLM
Grok-4-Fast,Few-shot (select),Coping,0.1008,LLM
Grok-4-Fast,PP,Coping,0.4377,LLM
Grok-4-Fast,Hybrid RF+PP,Coping,0.4623,LLM
Gemini-2.5-Pro,Zero-shot (all),Coping,0.1236,LLM
Gemini-2.5-Pro,Zero-shot (select),Coping,0.1282,LLM
Gemini-2.5-Pro,Few-shot (all),Coping,0.1388,LLM
Gemini-2.5-Pro,Few-shot (select),Coping,0.1517,LLM
Gemini-2.5-Pro,PP,Coping,0.4214,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Coping,0.4173,LLM
