Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-4o-mini,Zero-shot (select),Content,ACT,Accuracy,0.3548,0.0438,0.2742,0.4435,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,F1,0.1524,0.0214,0.1148,0.2000,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,Kappa,0.0299,0.0432,-0.0560,0.1125,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,QWK,0.0362,0.0485,-0.0669,0.1268,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,Directional Accuracy,0.6855,0.0415,0.6048,0.7661,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,Directional Macro-F1,0.2711,0.0098,0.2513,0.2892,2000,124
GPT-4o-mini,Zero-shot (select),Content,ACT,Spearman_Rho,0.1667,0.4539,-1.0000,1.0000,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,Accuracy,0.2903,0.0410,0.2097,0.3710,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,F1,0.1290,0.0181,0.0952,0.1667,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,Kappa,-0.0146,0.0398,-0.0951,0.0642,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,QWK,0.0642,0.0645,-0.0592,0.1889,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,Directional Accuracy,0.5242,0.0446,0.4355,0.6129,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,Directional Macro-F1,0.2938,0.0280,0.2421,0.3504,2000,124
GPT-4o-mini,Zero-shot (select),Coping,ACT,Spearman_Rho,-0.6000,0.5310,-1.0000,1.0000,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,Accuracy,0.3306,0.0417,0.2500,0.4194,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,F1,0.2494,0.0425,0.1656,0.3286,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,Kappa,0.0968,0.0481,0.0053,0.1942,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,QWK,0.1247,0.0755,-0.0200,0.2734,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,Directional Accuracy,0.5726,0.0436,0.4839,0.6613,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,Directional Macro-F1,0.3837,0.0460,0.2949,0.4734,2000,124
GPT-4o-mini,Zero-shot (select),Quitting,ACT,Spearman_Rho,0.1667,0.4617,-1.0000,1.0000,2000,124
GPT-4o-mini,Zero-shot (select),Content,CBT,Accuracy,0.4133,0.0421,0.3333,0.5000,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,F1,0.1923,0.0302,0.1469,0.2693,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,Kappa,0.0619,0.0466,-0.0277,0.1501,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,QWK,0.0621,0.0626,-0.0606,0.1880,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,Directional Accuracy,0.6933,0.0377,0.6200,0.7667,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,Directional Macro-F1,0.3180,0.0265,0.2690,0.3731,2000,150
GPT-4o-mini,Zero-shot (select),Content,CBT,Spearman_Rho,0.4213,0.3252,-0.2856,1.0000,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,Accuracy,0.2800,0.0366,0.2067,0.3533,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,F1,0.1432,0.0173,0.1081,0.1778,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,Kappa,-0.0116,0.0427,-0.0954,0.0728,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,QWK,0.0371,0.0626,-0.0948,0.1600,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,Directional Accuracy,0.4467,0.0414,0.3667,0.5267,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,Directional Macro-F1,0.3079,0.0282,0.2500,0.3641,2000,150
GPT-4o-mini,Zero-shot (select),Coping,CBT,Spearman_Rho,-0.0417,0.4016,-1.0000,0.8964,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,Accuracy,0.2467,0.0352,0.1798,0.3133,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,F1,0.1692,0.0296,0.1103,0.2292,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,Kappa,-0.0403,0.0425,-0.1212,0.0446,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,QWK,-0.0204,0.0699,-0.1580,0.1177,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,Directional Accuracy,0.4533,0.0407,0.3733,0.5333,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,Directional Macro-F1,0.3015,0.0376,0.2307,0.3753,2000,150
GPT-4o-mini,Zero-shot (select),Quitting,CBT,Spearman_Rho,-0.3183,0.2515,-0.7857,0.2121,2000,150
GPT-4o-mini,Few-shot (select),Content,ACT,Accuracy,0.3065,0.0416,0.2258,0.3871,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,F1,0.1459,0.0311,0.0892,0.2106,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,Kappa,-0.0103,0.0356,-0.0814,0.0596,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,QWK,0.1479,0.0905,-0.0282,0.3216,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,Directional Accuracy,0.6694,0.0420,0.5887,0.7500,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,Directional Macro-F1,0.3632,0.0467,0.2673,0.4513,2000,124
GPT-4o-mini,Few-shot (select),Content,ACT,Spearman_Rho,-0.1000,0.6084,-1.0000,1.0000,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,Accuracy,0.2581,0.0389,0.1774,0.3387,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,F1,0.1468,0.0246,0.0986,0.1947,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,Kappa,-0.0061,0.0424,-0.0917,0.0764,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,QWK,0.0929,0.0766,-0.0625,0.2330,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,Directional Accuracy,0.4355,0.0438,0.3468,0.5161,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,Directional Macro-F1,0.3324,0.0447,0.2437,0.4176,2000,124
GPT-4o-mini,Few-shot (select),Coping,ACT,Spearman_Rho,-0.2000,0.3949,-1.0000,0.6143,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,Accuracy,0.3548,0.0436,0.2661,0.4357,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,F1,0.2647,0.0381,0.1873,0.3367,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,Kappa,0.1317,0.0510,0.0341,0.2354,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,QWK,0.2284,0.0742,0.0719,0.3655,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,Directional Accuracy,0.5726,0.0439,0.4839,0.6532,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,Directional Macro-F1,0.3870,0.0462,0.2921,0.4755,2000,124
GPT-4o-mini,Few-shot (select),Quitting,ACT,Spearman_Rho,0.0722,0.3573,-0.6000,0.8710,2000,124
GPT-4o-mini,Few-shot (select),Content,CBT,Accuracy,0.3467,0.0390,0.2733,0.4202,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,F1,0.2485,0.0699,0.1232,0.3571,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,Kappa,-0.0050,0.0426,-0.0886,0.0801,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,QWK,0.0987,0.0964,-0.0911,0.2936,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,Directional Accuracy,0.6333,0.0388,0.5600,0.7067,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,Directional Macro-F1,0.3104,0.0355,0.2534,0.3856,2000,150
GPT-4o-mini,Few-shot (select),Content,CBT,Spearman_Rho,0.2308,0.3240,-0.4027,1.0000,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,Accuracy,0.3400,0.0382,0.2667,0.4200,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,F1,0.2260,0.0292,0.1690,0.2842,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,Kappa,0.0980,0.0463,0.0104,0.1944,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,QWK,0.1521,0.0762,0.0031,0.3022,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,Directional Accuracy,0.5000,0.0404,0.4200,0.5800,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,Directional Macro-F1,0.4397,0.0426,0.3530,0.5183,2000,150
GPT-4o-mini,Few-shot (select),Coping,CBT,Spearman_Rho,0.2274,0.2872,-0.3333,0.7677,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,Accuracy,0.3067,0.0372,0.2333,0.3867,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,F1,0.2184,0.0291,0.1602,0.2716,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,Kappa,0.0656,0.0453,-0.0237,0.1545,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,QWK,0.0803,0.0768,-0.0744,0.2240,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,Directional Accuracy,0.4800,0.0398,0.4000,0.5533,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,Directional Macro-F1,0.3211,0.0373,0.2493,0.3955,2000,150
GPT-4o-mini,Few-shot (select),Quitting,CBT,Spearman_Rho,-0.0817,0.2598,-0.5627,0.4690,2000,150
GPT-4o-mini,PP,Content,ACT,Accuracy,0.4257,0.0401,0.3446,0.5068,2000,148
GPT-4o-mini,PP,Content,ACT,F1,0.2326,0.0276,0.1788,0.2876,2000,148
GPT-4o-mini,PP,Content,ACT,Kappa,0.1179,0.0512,0.0182,0.2192,2000,148
GPT-4o-mini,PP,Content,ACT,QWK,0.1611,0.0622,0.0420,0.2855,2000,148
GPT-4o-mini,PP,Content,ACT,Directional Accuracy,0.7095,0.0373,0.6351,0.7770,2000,148
GPT-4o-mini,PP,Content,ACT,Directional Macro-F1,0.3588,0.0335,0.2939,0.4272,2000,148
GPT-4o-mini,PP,Content,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,148
GPT-4o-mini,PP,Coping,ACT,Accuracy,0.3691,0.0394,0.2886,0.4497,2000,149
GPT-4o-mini,PP,Coping,ACT,F1,0.2107,0.0225,0.1665,0.2539,2000,149
GPT-4o-mini,PP,Coping,ACT,Kappa,0.1541,0.0407,0.0769,0.2354,2000,149
GPT-4o-mini,PP,Coping,ACT,QWK,0.2615,0.0639,0.1289,0.3789,2000,149
GPT-4o-mini,PP,Coping,ACT,Directional Accuracy,0.5302,0.0419,0.4430,0.6107,2000,149
GPT-4o-mini,PP,Coping,ACT,Directional Macro-F1,0.4019,0.0421,0.3209,0.4838,2000,149
GPT-4o-mini,PP,Coping,ACT,Spearman_Rho,0.0000,0.8744,-1.0000,1.0000,2000,149
GPT-4o-mini,PP,Quitting,ACT,Accuracy,0.3221,0.0388,0.2416,0.3960,2000,149
