Panel,System,Feature_Set,Classifier,Domain,ACT_Accuracy,CBT_Accuracy,Diff_CBT_minus_ACT,p_raw,N_ACT,N_CBT,Bootstrap_N,p_bh,Significant_BH_0_05
Supervised Baseline Accuracy,RF - Demographics,Demographics,RF,Content,0.4621,0.5000,0.0379,0.5010,132,174,2000,0.8910,False
Supervised Baseline Accuracy,LR - Demographics,Demographics,LR,Content,0.4167,0.4253,0.0086,0.8910,132,174,2000,0.8910,False
Supervised Baseline Accuracy,LR - Demo+History+Embedding,Demographics + History + Message Embedding,LR,Content,0.4697,0.4943,0.0246,0.7090,132,174,2000,0.8910,False
Supervised Baseline Accuracy,RF - Demo+History+Embedding,Demographics + History + Message Embedding,RF,Content,0.3106,0.4023,0.0917,0.0930,132,174,2000,0.3720,False
Supervised Baseline Accuracy,RF - Demographics,Demographics,RF,Coping,0.4586,0.4598,0.0011,0.9770,133,174,2000,0.9770,False
Supervised Baseline Accuracy,LR - Demographics,Demographics,LR,Coping,0.3835,0.3333,-0.0501,0.3770,133,174,2000,0.9770,False
Supervised Baseline Accuracy,LR - Demo+History+Embedding,Demographics + History + Message Embedding,LR,Coping,0.4286,0.4368,0.0082,0.8740,133,174,2000,0.9770,False
Supervised Baseline Accuracy,RF - Demo+History+Embedding,Demographics + History + Message Embedding,RF,Coping,0.3759,0.3391,-0.0369,0.5010,133,174,2000,0.9770,False
Supervised Baseline Accuracy,RF - Demographics,Demographics,RF,Quitting,0.4887,0.4540,-0.0347,0.5500,133,174,2000,0.5530,False
Supervised Baseline Accuracy,LR - Demographics,Demographics,LR,Quitting,0.3459,0.3851,0.0392,0.4520,133,174,2000,0.5530,False
Supervised Baseline Accuracy,LR - Demo+History+Embedding,Demographics + History + Message Embedding,LR,Quitting,0.4812,0.5172,0.0360,0.5320,133,174,2000,0.5530,False
Supervised Baseline Accuracy,RF - Demo+History+Embedding,Demographics + History + Message Embedding,RF,Quitting,0.3308,0.3621,0.0312,0.5530,133,174,2000,0.5530,False
