Model,Method,Input_Tokens,Output_Tokens,Cost_Per_Call,Cost_Per_Participant,Cost_Per_1000_Messages,Total_Cost
GPT-4o-mini,Zero-shot (all),830,200,0.000244,0.002445,0.2445,0.067
GPT-4o-mini,Zero-shot (select),623,200,0.000213,0.002135,0.2135,0.0585
GPT-4o-mini,Few-shot (all),3321,200,0.000618,0.006181,0.6181,0.1694
GPT-4o-mini,Few-shot (select),1442,200,0.000336,0.003363,0.3363,0.0921
GPT-4o-mini,Zero-shot (w/ prob),743,200,0.000231,0.002315,0.2315,0.0634
GPT-4o-mini,PP,849,200,0.000247,0.002474,0.2474,0.0678
GPT-4o-mini,Hybrid RF+PP,1008,200,0.000271,0.002712,0.2712,0.0743
GPT-5,Zero-shot (all),830,200,0.003038,0.030375,3.0375,0.8323
GPT-5,Zero-shot (select),623,200,0.002779,0.027787,2.7788,0.7614
GPT-5,Few-shot (all),3321,200,0.006151,0.061513,6.1513,1.6854
GPT-5,Few-shot (select),1442,200,0.003803,0.038025,3.8025,1.0419
GPT-5,Zero-shot (w/ prob),743,200,0.002929,0.029288,2.9287,0.8025
GPT-5,PP,849,200,0.003061,0.030612,3.0612,0.8388
GPT-5,Hybrid RF+PP,1008,200,0.00326,0.0326,3.26,0.8932
DeepSeek-R1,Zero-shot (all),830,200,0.000895,0.008945,0.8945,0.2451
DeepSeek-R1,Zero-shot (select),623,200,0.000781,0.007807,0.7807,0.2139
DeepSeek-R1,Few-shot (all),3321,200,0.002265,0.022646,2.2646,0.6205
DeepSeek-R1,Few-shot (select),1442,200,0.001231,0.012311,1.2311,0.3373
DeepSeek-R1,Zero-shot (w/ prob),743,200,0.000847,0.008467,0.8467,0.232
DeepSeek-R1,PP,849,200,0.000905,0.00905,0.905,0.248
DeepSeek-R1,Hybrid RF+PP,1008,200,0.000992,0.009924,0.9924,0.2719
Grok-4-Fast,Zero-shot (all),830,200,0.000266,0.00266,0.266,0.0729
Grok-4-Fast,Zero-shot (select),623,200,0.000225,0.002246,0.2246,0.0615
Grok-4-Fast,Few-shot (all),3321,200,0.000764,0.007642,0.7642,0.2094
Grok-4-Fast,Few-shot (select),1442,200,0.000388,0.003884,0.3884,0.1064
Grok-4-Fast,Zero-shot (w/ prob),743,200,0.000249,0.002486,0.2486,0.0681
Grok-4-Fast,PP,849,200,0.00027,0.002698,0.2698,0.0739
Grok-4-Fast,Hybrid RF+PP,1008,200,0.000302,0.003016,0.3016,0.0826
Gemini-2.5-Pro,Zero-shot (all),830,200,0.003038,0.030375,3.0375,0.8323
Gemini-2.5-Pro,Zero-shot (select),623,200,0.002779,0.027787,2.7788,0.7614
Gemini-2.5-Pro,Few-shot (all),3321,200,0.006151,0.061513,6.1513,1.6854
Gemini-2.5-Pro,Few-shot (select),1442,200,0.003803,0.038025,3.8025,1.0419
Gemini-2.5-Pro,Zero-shot (w/ prob),743,200,0.002929,0.029288,2.9287,0.8025
Gemini-2.5-Pro,PP,849,200,0.003061,0.030612,3.0612,0.8388
Gemini-2.5-Pro,Hybrid RF+PP,1008,200,0.00326,0.0326,3.26,0.8932
