Model,Domain,Subgroup_Type,Subgroup,N,Accuracy,F1,Kappa,QWK,Accuracy_CI_Lower,Accuracy_CI_Upper,Small_N_Flag
GPT-4o-mini,Content,Race,White,205,0.4341,0.2213,0.0941,0.2788,0.3707,0.5024,False
GPT-4o-mini,Content,Race,Black / African American,78,0.4103,0.2499,0.1842,0.2021,0.3077,0.5128,False
GPT-4o-mini,Content,Race,Other,39,0.3333,0.1934,0.0416,0.0138,0.2051,0.4872,False
GPT-4o-mini,Content,Gender,Male,172,0.3837,0.2105,0.0853,0.0798,0.3140,0.4535,False
GPT-4o-mini,Content,Gender,Female,144,0.4583,0.2596,0.1678,0.3187,0.3750,0.5486,False
GPT-4o-mini,Content,Gender,Other,6,0.3333,0.1143,0.0000,0.4340,0.0000,0.6667,True
GPT-4o-mini,Content,Age,18-24,83,0.3976,0.2112,0.0587,0.2410,0.3009,0.4940,False
GPT-4o-mini,Content,Age,25-30,239,0.4226,0.2351,0.1323,0.2128,0.3598,0.4812,False
GPT-4o-mini,Coping,Race,White,206,0.3447,0.2003,0.1089,0.3070,0.2814,0.4029,False
GPT-4o-mini,Coping,Race,Black / African American,78,0.3205,0.2205,0.1490,0.2224,0.2179,0.4359,False
GPT-4o-mini,Coping,Race,Other,39,0.2564,0.1825,-0.0107,0.0266,0.1282,0.4103,False
GPT-4o-mini,Coping,Gender,Male,173,0.3353,0.1824,0.0973,0.1988,0.2717,0.4046,False
GPT-4o-mini,Coping,Gender,Female,144,0.3125,0.2176,0.1081,0.2535,0.2361,0.3819,False
GPT-4o-mini,Coping,Gender,Other,6,0.5000,0.4000,0.2500,0.5714,0.1667,0.8333,True
GPT-4o-mini,Coping,Age,18-24,83,0.3133,0.1631,0.0824,0.0821,0.2169,0.4096,False
GPT-4o-mini,Coping,Age,25-30,240,0.3333,0.2194,0.1208,0.3052,0.2792,0.3917,False
GPT-4o-mini,Quitting,Race,White,206,0.3301,0.1774,0.0709,0.2414,0.2670,0.3932,False
GPT-4o-mini,Quitting,Race,Black / African American,78,0.3205,0.2425,0.1469,0.2618,0.2179,0.4231,False
GPT-4o-mini,Quitting,Race,Other,39,0.3077,0.2157,0.0946,0.2806,0.1795,0.4365,False
GPT-4o-mini,Quitting,Gender,Male,173,0.3179,0.1767,0.0731,0.2259,0.2486,0.3931,False
GPT-4o-mini,Quitting,Gender,Female,144,0.3194,0.2188,0.1017,0.2255,0.2431,0.4028,False
GPT-4o-mini,Quitting,Gender,Other,6,0.6667,0.4167,0.5000,0.8333,0.3333,1.0000,True
GPT-4o-mini,Quitting,Age,18-24,83,0.3133,0.1669,0.0680,0.2201,0.2169,0.4096,False
GPT-4o-mini,Quitting,Age,25-30,240,0.3292,0.2239,0.1048,0.2716,0.2708,0.3875,False
GPT-5,Content,Race,White,205,0.4732,0.3678,0.2216,0.3940,0.4049,0.5415,False
GPT-5,Content,Race,Black / African American,78,0.3974,0.2614,0.1569,0.2974,0.2946,0.5003,False
GPT-5,Content,Race,Other,39,0.4615,0.3077,0.2615,0.1318,0.3077,0.6154,False
GPT-5,Content,Gender,Male,172,0.4651,0.2835,0.2064,0.2137,0.3895,0.5407,False
GPT-5,Content,Gender,Female,144,0.4444,0.3479,0.2129,0.3919,0.3611,0.5278,False
GPT-5,Content,Gender,Other,6,0.3333,0.1333,0.1111,0.7333,0.0000,0.6667,True
GPT-5,Content,Age,18-24,83,0.3735,0.2994,0.1150,0.3259,0.2771,0.4699,False
GPT-5,Content,Age,25-30,239,0.4812,0.3130,0.2420,0.3333,0.4184,0.5523,False
GPT-5,Coping,Race,White,206,0.3835,0.3461,0.1576,0.4246,0.3204,0.4515,False
GPT-5,Coping,Race,Black / African American,78,0.3974,0.3582,0.2079,0.3971,0.2949,0.5128,False
GPT-5,Coping,Race,Other,39,0.3077,0.2761,0.1151,0.2089,0.1795,0.4615,False
GPT-5,Coping,Gender,Male,173,0.3757,0.3058,0.1224,0.2972,0.3006,0.4451,False
GPT-5,Coping,Gender,Female,144,0.3681,0.3330,0.1838,0.4142,0.2917,0.4514,False
GPT-5,Coping,Gender,Other,6,0.6667,0.5556,0.5000,0.6667,0.3333,1.0000,True
GPT-5,Coping,Age,18-24,83,0.3614,0.2921,0.1432,0.2113,0.2530,0.4699,False
GPT-5,Coping,Age,25-30,240,0.3833,0.3383,0.1720,0.4532,0.3208,0.4458,False
GPT-5,Quitting,Race,White,206,0.4078,0.3405,0.1864,0.4969,0.3447,0.4757,False
GPT-5,Quitting,Race,Black / African American,78,0.4744,0.4662,0.3096,0.5717,0.3718,0.5769,False
GPT-5,Quitting,Race,Other,39,0.2564,0.2551,0.0699,0.2483,0.1282,0.4103,False
GPT-5,Quitting,Gender,Male,173,0.3815,0.2849,0.1362,0.4045,0.3121,0.4509,False
GPT-5,Quitting,Gender,Female,144,0.4306,0.4186,0.2747,0.4894,0.3472,0.5139,False
GPT-5,Quitting,Gender,Other,6,0.5000,0.3250,0.3077,0.7273,0.1667,0.8333,True
GPT-5,Quitting,Age,18-24,83,0.3614,0.3302,0.1733,0.4097,0.2651,0.4578,False
GPT-5,Quitting,Age,25-30,240,0.4208,0.3915,0.2222,0.5160,0.3625,0.4833,False
DeepSeek-R1,Content,Race,White,205,0.4488,0.2839,0.1839,0.2941,0.3854,0.5171,False
DeepSeek-R1,Content,Race,Black / African American,78,0.4359,0.3467,0.2459,0.3166,0.3333,0.5385,False
DeepSeek-R1,Content,Race,Other,39,0.3846,0.2598,0.1583,0.1062,0.2564,0.5385,False
DeepSeek-R1,Content,Gender,Male,172,0.4070,0.2511,0.1502,0.2255,0.3372,0.4826,False
DeepSeek-R1,Content,Gender,Female,144,0.4792,0.3574,0.2643,0.2752,0.3889,0.5625,False
DeepSeek-R1,Content,Gender,Other,6,0.3333,0.1333,0.1111,0.7333,0.0000,0.6667,True
DeepSeek-R1,Content,Age,18-24,83,0.3855,0.2354,0.1223,0.2380,0.2771,0.4940,False
DeepSeek-R1,Content,Age,25-30,239,0.4561,0.3270,0.2258,0.2881,0.3974,0.5146,False
DeepSeek-R1,Coping,Race,White,206,0.3544,0.2950,0.1142,0.4132,0.2864,0.4223,False
DeepSeek-R1,Coping,Race,Black / African American,78,0.5000,0.4695,0.3497,0.4151,0.3971,0.6154,False
DeepSeek-R1,Coping,Race,Other,39,0.3333,0.2733,0.1522,0.1702,0.1795,0.4615,False
DeepSeek-R1,Coping,Gender,Male,173,0.3642,0.3227,0.1092,0.3196,0.2890,0.4335,False
DeepSeek-R1,Coping,Gender,Female,144,0.4167,0.3810,0.2484,0.3947,0.3403,0.4931,False
DeepSeek-R1,Coping,Gender,Other,6,0.3333,0.2250,0.0769,0.6000,0.0000,0.6667,True
DeepSeek-R1,Coping,Age,18-24,83,0.3976,0.2784,0.1670,0.2395,0.3012,0.5060,False
DeepSeek-R1,Coping,Age,25-30,240,0.3833,0.3673,0.1805,0.4302,0.3249,0.4459,False
DeepSeek-R1,Quitting,Race,White,206,0.3883,0.3181,0.1604,0.3851,0.3204,0.4563,False
DeepSeek-R1,Quitting,Race,Black / African American,78,0.4744,0.4376,0.3178,0.5630,0.3718,0.5897,False
DeepSeek-R1,Quitting,Race,Other,39,0.3333,0.3079,0.1578,0.3150,0.2051,0.4872,False
DeepSeek-R1,Quitting,Gender,Male,173,0.3699,0.3128,0.1260,0.3440,0.3006,0.4393,False
DeepSeek-R1,Quitting,Gender,Female,144,0.4514,0.4258,0.2959,0.4632,0.3681,0.5347,False
DeepSeek-R1,Quitting,Gender,Other,6,0.1667,0.0800,-0.1111,0.6667,0.0000,0.5000,True
