Model,Model_ID,Method,Category,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Content,0.3650,0.1182,0.0040,0.0046,0.6898,0.2915,0.0275,0.0000,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Coping,0.2847,0.1468,0.0168,0.0181,0.4088,0.2859,0.0205,-0.1224,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Quitting,0.2518,0.1297,-0.0214,0.0336,0.4927,0.3042,0.0323,-0.1070,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Content,0.3869,0.1766,0.0482,0.0481,0.6898,0.3003,0.0721,0.0979,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Coping,0.2847,0.1395,-0.0093,0.0575,0.4818,0.3066,0.0925,-0.0683,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Quitting,0.2847,0.2034,0.0217,0.0486,0.5073,0.3387,0.0480,-0.0732,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Content,0.3504,0.1431,0.0057,0.1257,0.6752,0.3392,0.0851,0.0881,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Coping,0.2555,0.1542,-0.0085,0.0608,0.3942,0.3245,0.0530,-0.0212,274
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Quitting,0.2920,0.2177,0.0569,0.1372,0.5146,0.3664,0.1045,-0.0093,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Content,0.3285,0.2089,-0.0114,0.1214,0.6496,0.3390,0.0667,0.1150,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Coping,0.3029,0.1936,0.0521,0.1296,0.4708,0.3956,0.1406,0.1160,274
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Quitting,0.3285,0.2380,0.0923,0.1455,0.5219,0.3506,0.1309,-0.0704,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (w/ prob),Generic LLM,Content,0.3394,0.1664,0.0245,0.0233,0.6131,0.3520,0.0616,-0.0434,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (w/ prob),Generic LLM,Coping,0.2920,0.1545,0.0120,0.0722,0.4964,0.3439,0.1114,0.0362,274
GPT-4o-mini,gpt-4o-mini,Zero-shot (w/ prob),Generic LLM,Quitting,0.2737,0.1944,0.0413,0.1049,0.5219,0.3751,0.0935,-0.1605,274
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Content,0.4161,0.2304,0.1143,0.2216,0.7298,0.4041,0.2926,-1.0000,322
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Coping,0.3282,0.2070,0.1087,0.2514,0.5046,0.4047,0.2954,0.0000,323
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Quitting,0.3251,0.2115,0.0954,0.2603,0.5975,0.4585,0.2953,-1.0000,323
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Content,0.4286,0.2485,0.1492,0.2498,0.6957,0.3919,0.2930,-1.0000,322
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Coping,0.3622,0.2403,0.1377,0.3167,0.5820,0.4616,0.3322,1.0000,323
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Quitting,0.3839,0.2769,0.1632,0.3948,0.6780,0.5331,0.4179,-1.0000,323
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Content,0.3759,0.1637,0.0411,-0.0099,0.6642,0.3200,-0.0206,0.1211,274
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Coping,0.2737,0.1599,0.0177,-0.0038,0.3942,0.3096,0.0138,-0.1235,274
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Quitting,0.1971,0.1246,0.0314,0.0292,0.2737,0.2727,0.0381,0.0674,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Content,0.3905,0.1774,0.0672,-0.0141,0.6679,0.3235,-0.0052,-0.0486,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Coping,0.2920,0.1688,0.0381,0.0208,0.4270,0.3389,0.0361,-0.0805,274
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Quitting,0.2044,0.1604,0.0288,0.0137,0.2920,0.2930,0.0355,-0.0408,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Content,0.3540,0.2326,0.0518,0.1225,0.6241,0.3632,0.0502,0.0133,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Coping,0.1971,0.1700,-0.0487,0.0493,0.3139,0.2832,0.0304,-0.0831,274
GPT-5,gpt-5,Few-shot (all),Generic LLM,Quitting,0.2226,0.1936,0.0252,0.0577,0.3321,0.3171,0.0388,-0.0741,274
GPT-5,gpt-5,Few-shot (select),Generic LLM,Content,0.3431,0.2140,0.0499,0.0704,0.5839,0.3601,0.0249,0.0367,274
GPT-5,gpt-5,Few-shot (select),Generic LLM,Coping,0.2445,0.2051,0.0231,-0.0035,0.3394,0.3166,-0.0116,-0.1505,274
GPT-5,gpt-5,Few-shot (select),Generic LLM,Quitting,0.2190,0.1946,0.0322,0.0800,0.3504,0.3309,0.0782,-0.0500,274
GPT-5,gpt-5,Zero-shot (w/ prob),Generic LLM,Content,0.3686,0.1552,0.0336,0.0209,0.6533,0.3166,0.0283,0.1210,274
GPT-5,gpt-5,Zero-shot (w/ prob),Generic LLM,Coping,0.2518,0.1433,-0.0037,-0.0461,0.3577,0.2795,-0.0355,-0.2061,274
GPT-5,gpt-5,Zero-shot (w/ prob),Generic LLM,Quitting,0.1788,0.1414,0.0117,0.0219,0.2336,0.2357,0.0587,-0.1026,274
GPT-5,gpt-5,PP,Personalized Prompt,Content,0.4534,0.3209,0.2083,0.3338,0.6739,0.4519,0.3298,0.1429,322
GPT-5,gpt-5,PP,Personalized Prompt,Coping,0.3777,0.3295,0.1652,0.3931,0.6130,0.5140,0.3312,0.2000,323
GPT-5,gpt-5,PP,Personalized Prompt,Quitting,0.4056,0.3767,0.2101,0.4905,0.6471,0.5227,0.4310,0.5000,323
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Content,0.4720,0.3349,0.2424,0.3609,0.7143,0.5493,0.3494,0.0000,322
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Coping,0.4272,0.3841,0.2369,0.4047,0.6161,0.5254,0.3541,1.0000,323
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Quitting,0.4458,0.4067,0.2700,0.4885,0.6502,0.5526,0.4457,-1.0000,323
