Model,Method,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
GPT-4o-mini,Zero-shot (all),Content,0.3630,0.1179,0.0040,0.0046,0.6889,0.2916,0.0276,0.0000,270
GPT-4o-mini,Zero-shot (select),Content,0.3889,0.1781,0.0533,0.0544,0.6889,0.3005,0.0839,0.1172,270
GPT-4o-mini,Few-shot (all),Content,0.3519,0.1439,0.0107,0.1264,0.6741,0.3391,0.0876,0.0621,270
GPT-4o-mini,Few-shot (select),Content,0.3259,0.2085,-0.0123,0.1219,0.6481,0.3387,0.0671,0.1204,270
GPT-4o-mini,Zero-shot (w/ prob),Content,0.3370,0.1663,0.0241,0.0230,0.6111,0.3523,0.0618,-0.0378,270
GPT-5,Zero-shot (all),Content,0.3741,0.1638,0.0410,-0.0100,0.6630,0.3203,-0.0207,0.1211,270
GPT-5,Zero-shot (select),Content,0.3852,0.1740,0.0613,-0.0153,0.6667,0.3239,-0.0059,-0.0549,270
GPT-5,Few-shot (all),Content,0.3556,0.2341,0.0563,0.1229,0.6222,0.3634,0.0512,0.0136,270
GPT-5,Few-shot (select),Content,0.3407,0.2140,0.0492,0.0703,0.5815,0.3600,0.0251,0.0384,270
GPT-5,Zero-shot (w/ prob),Content,0.3704,0.1564,0.0390,0.0204,0.6519,0.3169,0.0292,0.1396,270
DeepSeek-R1,Zero-shot (all),Content,0.3370,0.1554,0.0099,0.0988,0.6296,0.3551,0.1452,0.1635,270
DeepSeek-R1,Zero-shot (select),Content,0.3630,0.1762,0.0328,0.0186,0.6407,0.3187,0.0451,0.0495,270
DeepSeek-R1,Few-shot (all),Content,0.3593,0.2415,0.0637,0.1062,0.6333,0.4086,0.0585,0.0291,270
DeepSeek-R1,Few-shot (select),Content,0.3481,0.2449,0.0505,0.0944,0.6222,0.3469,0.0581,0.1242,270
DeepSeek-R1,Zero-shot (w/ prob),Content,0.3481,0.1968,0.0419,0.0310,0.5926,0.3596,0.0469,0.1496,270
Grok-4-Fast,Zero-shot (all),Content,0.3741,0.1748,0.0395,-0.0044,0.6778,0.2693,0.0169,0.0114,270
Grok-4-Fast,Zero-shot (select),Content,0.3630,0.1781,0.0291,0.0647,0.6815,0.2802,0.1124,0.0083,270
Grok-4-Fast,Few-shot (all),Content,0.3148,0.1953,-0.0172,0.1231,0.6519,0.3312,0.0565,-0.1494,270
Grok-4-Fast,Few-shot (select),Content,0.3259,0.2046,0.0311,0.1605,0.6296,0.3397,0.1173,-0.0152,270
Grok-4-Fast,Zero-shot (w/ prob),Content,0.3407,0.1424,-0.0181,0.0097,0.6667,0.2766,0.0355,0.0407,270
Gemini-2.5-Pro,Zero-shot (all),Content,0.3037,0.1676,-0.0410,0.0168,0.6593,0.3308,-0.0101,0.0222,270
Gemini-2.5-Pro,Zero-shot (select),Content,0.3778,0.2004,0.0677,0.0775,0.6630,0.3022,0.1044,0.1707,270
Gemini-2.5-Pro,Few-shot (all),Content,0.3296,0.2395,0.0253,0.1325,0.6370,0.3537,0.1022,0.0381,270
Gemini-2.5-Pro,Few-shot (select),Content,0.3741,0.2719,0.1060,0.1272,0.6185,0.3778,0.0772,0.0094,270
Gemini-2.5-Pro,Zero-shot (w/ prob),Content,0.3111,0.1700,-0.0171,0.0474,0.6593,0.3247,0.0241,0.0361,270
