Feature_Set,Classifier,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
Demographics,LR,Content,0.4215686274509804,0.24143495748355087,0.1319357630541398,0.23234549376348124,0.6895424836601307,0.38552263132926873,0.23366030933530127,,306
Demographics,LR,Coping,0.3550488599348534,0.23446812102794157,0.07438595422637084,0.10790081202921975,0.6286644951140065,0.3382849300841957,0.09809010283676708,,307
Demographics,LR,Quitting,0.36807817589576547,0.25043196445036214,0.08396265592075913,0.14538477265935867,0.6677524429967426,0.4083998256386156,0.16597601187783595,,307
Demographics,RF,Content,0.48366013071895425,0.33028324633818285,0.24951103660240292,0.3478666252275452,0.7091503267973857,0.482382808508683,0.3609465568255841,,306
Demographics,RF,Coping,0.4592833876221498,0.3885840113045996,0.26205128947711387,0.3568046310163451,0.6547231270358306,0.5255308692189061,0.34408750602957133,,307
Demographics,RF,Quitting,0.46905537459283386,0.38650729045306215,0.2750622935620327,0.4657733396967584,0.6905537459283387,0.548846516007533,0.43049889513043826,,307
Embedding,LR,Content,0.39215686274509803,0.19311796541313633,0.05007009813739227,-0.009913289166017192,0.7124183006535948,0.29796946791166445,0.0011764046978712172,,306
Embedding,LR,Coping,0.34201954397394135,0.1610082872928177,0.03809523809523807,0.02366664125379836,0.6319218241042345,0.25815036593479707,0.046380504740648185,-0.9999999999999999,307
Embedding,LR,Quitting,0.36807817589576547,0.16828282828282828,0.04841183613472233,0.038089066778352554,0.6612377850162866,0.265359477124183,0.069773131278324,0.9999999999999999,307
Embedding,RF,Content,0.34967320261437906,0.21547754575190564,0.02529052085667638,-0.010651781796909177,0.6209150326797386,0.32138123810212293,0.008242528523507946,,306
Embedding,RF,Coping,0.3127035830618892,0.19790443721293752,0.021628479511848875,0.0005606152998800518,0.5928338762214984,0.3389568947478552,0.007694863810971932,0.0,307
Embedding,RF,Quitting,0.3127035830618892,0.1975478317677561,0.00298594757661097,-0.02399006958049066,0.5960912052117264,0.3060656507070689,-0.01570895038418406,-0.9999999999999999,307
Embedding + Demo,LR,Content,0.4117647058823529,0.2370856620619354,0.11691143461809783,0.11899488824775828,0.673202614379085,0.37354522112638877,0.1392642061626744,,306
Embedding + Demo,LR,Coping,0.3517915309446254,0.247833081950729,0.0758327534565697,0.10358252536218326,0.6091205211726385,0.34546615581098344,0.09343859863692901,-0.9999999999999999,307
Embedding + Demo,LR,Quitting,0.3811074918566775,0.2668883843271545,0.10750351918722079,0.1895194262084432,0.6710097719869706,0.43532116032116036,0.19160075364666473,,307
Embedding + Demo,RF,Content,0.3758169934640523,0.2110752339363693,0.06207272843983702,-0.04432364624712526,0.6274509803921569,0.3118401431553832,9.725863764042067e-05,,306
Embedding + Demo,RF,Coping,0.33876221498371334,0.21358684201940337,0.05858094533150049,-0.006115624418610244,0.5830618892508144,0.3338177608460302,0.005341168856370504,0.9999999999999999,307
Embedding + Demo,RF,Quitting,0.3127035830618892,0.18427407639537532,-0.0024916429367338733,0.005653527834673766,0.6091205211726385,0.30258675046782196,0.01378340562122771,-0.9999999999999999,307
Avg History Score,LR,Content,0.4411764705882353,0.25181076391069734,0.1526153846153846,0.40699783095686815,0.738562091503268,0.3929250529185951,0.42810618466800154,,306
Avg History Score,LR,Coping,0.4364820846905538,0.2705159194233831,0.19813086934202973,0.38132520928372604,0.6514657980456026,0.36835612764816306,0.4528857579426309,,307
Avg History Score,LR,Quitting,0.46905537459283386,0.26169359096188366,0.22689140544131503,0.39620305030730696,0.6677524429967426,0.33228511530398325,0.5240287476153669,,307
Avg History Score,RF,Content,0.5,0.3748933135383111,0.2742745535714286,0.3535027581252056,0.7058823529411765,0.4805400982828452,0.3502613092532124,,306
Avg History Score,RF,Coping,0.42996742671009774,0.3613642640493225,0.2103561297529286,0.4324599987250589,0.6840390879478827,0.519105642966994,0.4223956866348374,,307
Avg History Score,RF,Quitting,0.5472312703583062,0.4553454140639495,0.366399406087602,0.534606260487184,0.749185667752443,0.5990466769524369,0.5306780732206512,,307
Embedding + History,LR,Content,0.4934640522875817,0.29135841563821224,0.2307817061303924,0.3728437233134074,0.7581699346405228,0.41881603705311915,0.40655600258928054,,306
Embedding + History,LR,Coping,0.44299674267100975,0.2768459449262256,0.208261695774138,0.3941747275777493,0.6612377850162866,0.3812169312169312,0.456536119960497,-0.9999999999999999,307
Embedding + History,LR,Quitting,0.48859934853420195,0.2930275561789545,0.2568992630507848,0.411521108167491,0.6775244299674267,0.3608286511485686,0.5256304816902645,,307
Embedding + History,RF,Content,0.3660130718954248,0.2104571156073302,0.041681464501339804,0.07362282233200845,0.6699346405228758,0.34074074074074073,0.08670438248641418,,306
Embedding + History,RF,Coping,0.36807817589576547,0.23527460735537997,0.10386542483561789,0.04240235925743874,0.5863192182410424,0.3354997553329709,0.08919356895290971,0.9999999999999999,307
Embedding + History,RF,Quitting,0.33876221498371334,0.20344563889016984,0.030596689895470375,0.007022173043367275,0.6319218241042345,0.32054205359240756,0.0038860857508968604,-0.9999999999999999,307
Demographics + History + Message Embedding,LR,Content,0.48366013071895425,0.2886488652113652,0.22598616803278682,0.3249009883326791,0.7254901960784313,0.43076207846082326,0.36360730929409,,306
Demographics + History + Message Embedding,LR,Coping,0.43322475570032576,0.3366827196036808,0.20601088022830638,0.3332898694735328,0.6579804560260586,0.45721001663179356,0.3417982696507854,-0.9999999999999999,307
Demographics + History + Message Embedding,LR,Quitting,0.501628664495114,0.37430444343135616,0.2991913344473621,0.4798444411594137,0.749185667752443,0.5899035793990358,0.49124994677690775,,307
Demographics + History + Message Embedding,RF,Content,0.3627450980392157,0.20903548600948127,0.04371934997916593,0.041619212676405004,0.6470588235294118,0.33065019592216244,0.07394711044728433,,306
Demographics + History + Message Embedding,RF,Coping,0.3550488599348534,0.22432496531972973,0.08604850471364778,0.06535295096570826,0.5863192182410424,0.3399705227940036,0.09690465112888205,0.0,307
