k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
1,Demographics,RF only,content,2704,0.4375,0.33647819348174257,0.21572088341964413,0.34885337495327584,0.6298076923076923,0.4872469204308689,
1,Demographics,RF only,coping,2704,0.4068047337278107,0.36866555390174865,0.21706026819359692,0.4348709036500412,0.5998520710059172,0.4997011337379937,
1,Demographics,RF only,quitting,2704,0.41605029585798814,0.3640918200854587,0.2271708451764517,0.4697303468865822,0.6298076923076923,0.5138982459167526,
1,Demographics,LLM only,content,2704,0.4619082840236686,0.32746554845080694,0.22626747885585008,0.35015587409395765,0.680103550295858,0.4759553605048225,0.05583073858057013
1,Demographics,LLM only,coping,2704,0.38979289940828404,0.34670256538799926,0.18511419743446866,0.4265975820379966,0.606508875739645,0.5068094945867488,0.05218110787093471
1,Demographics,LLM only,quitting,2704,0.4005177514792899,0.35584554474164837,0.20522790488520437,0.4750179540282009,0.625,0.521997198342715,0.07452903498726063
1,Demographics,Mean (50/50),content,2704,0.4500739644970414,0.3279451703068732,0.21783732891368457,0.3637498038571034,0.6741863905325444,0.48728187447227694,0.05375168151466159
1,Demographics,Mean (50/50),coping,2704,0.3801775147928994,0.3365123688628808,0.1735480160173143,0.4148104323278363,0.6098372781065089,0.5012815448140581,0.008684453151386256
1,Demographics,Mean (50/50),quitting,2704,0.4005177514792899,0.3511651071409605,0.203777673831398,0.46784326350939265,0.6372041420118343,0.5181774380792677,0.048917362761226955
1,Demographics,RF-anchor 70/30,content,2704,0.4474852071005917,0.3351734903772291,0.2252832475472335,0.35898061807352444,0.6405325443786982,0.4919923360167741,0.06098305328062378
1,Demographics,RF-anchor 70/30,coping,2704,0.40384615384615385,0.36735594339363953,0.2125167768320464,0.44340922415433315,0.599112426035503,0.5019431676530847,0.11562746679560527
1,Demographics,RF-anchor 70/30,quitting,2704,0.42048816568047337,0.3685903524042744,0.23262745223037218,0.48585810475440816,0.6312869822485208,0.5146907174373073,0.11916109263957333
