k_train,method_group,feature_set,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
0,Generic LLM,Zero-shot,GPT-4o-mini,content,322,0.38509316770186336,0.13606521566196145,0.02577815809177464,0.02672518314861938,0.7329192546583851,0.31416974025720584,-0.9999999999999999,322
0,Generic LLM,Zero-shot,GPT-4o-mini,coping,322,0.2670807453416149,0.14493391549229112,0.0029390154298311044,0.06988013261922987,0.45652173913043476,0.31354293734178046,0.0,322
0,Generic LLM,Zero-shot,GPT-4o-mini,quitting,322,0.3105590062111801,0.17718206696347488,0.05159672561792683,0.0993824918270978,0.5714285714285714,0.36292040676123544,0.0,322
0,Generic LLM,Few-shot,GPT-4o-mini,content,322,0.36024844720496896,0.18951847699843458,0.004621848739495782,0.10292145395218943,0.7049689440993789,0.3148984670723802,-0.9999999999999999,322
0,Generic LLM,Few-shot,GPT-4o-mini,coping,322,0.27639751552795033,0.17687531457288552,0.03706650922812338,0.08652007648183568,0.42857142857142855,0.33268115942028986,0.4999999999999999,322
0,Generic LLM,Few-shot,GPT-4o-mini,quitting,322,0.27639751552795033,0.20727223719676552,0.022437066763954627,0.11682322386465693,0.5248447204968945,0.35990227466020946,-0.9999999999999999,322
0,Generic LLM,Zero-shot,GPT-5,content,322,0.39751552795031053,0.1977769254554969,0.06796174447577696,0.12112065853130183,0.7111801242236024,0.34175755192704343,-0.3333333333333333,322
0,Generic LLM,Zero-shot,GPT-5,coping,322,0.2515527950310559,0.16546771225835755,0.015590313455366656,0.07725129126431618,0.40372670807453415,0.33522008890348465,-0.14285714285714285,322
0,Generic LLM,Zero-shot,GPT-5,quitting,322,0.14285714285714285,0.10169767283747233,-0.0027757091598406003,0.04921850258015226,0.19875776397515527,0.20713616518606023,0.9999999999999999,322
0,Generic LLM,Few-shot,GPT-5,content,322,0.39751552795031053,0.24033203744004733,0.09635608789364813,0.128564458111589,0.6708074534161491,0.3699651797477885,0.9999999999999999,322
0,Generic LLM,Few-shot,GPT-5,coping,322,0.2453416149068323,0.1955297446234777,0.02061507265968221,0.07033295922184801,0.391304347826087,0.3410565441232853,0.5999999999999999,322
0,Generic LLM,Few-shot,GPT-5,quitting,322,0.20496894409937888,0.16630080446315526,0.010622081928057914,0.09397736598553141,0.35714285714285715,0.32031224337980274,0.9999999999999999,322
0,Generic LLM,Zero-shot,Gemini-2.5-Pro,content,322,0.38509316770186336,0.22675479744136462,0.05433186490455211,0.11217453269747302,0.7111801242236024,0.35856619159839903,0.0,322
0,Generic LLM,Zero-shot,Gemini-2.5-Pro,coping,322,0.2857142857142857,0.19475365991346272,-0.004584791514066211,0.10744336569579283,0.5745341614906833,0.3499828997489846,-0.19999999999999998,322
0,Generic LLM,Zero-shot,Gemini-2.5-Pro,quitting,322,0.2950310559006211,0.18715417840078474,0.014267990074441683,0.09210249274513205,0.5869565217391305,0.34373450466380384,0.0,322
0,Generic LLM,Few-shot,Gemini-2.5-Pro,content,322,0.36335403726708076,0.2715840222754364,0.08098625864925446,0.16849101939736533,0.6304347826086957,0.38799046571323803,-0.19999999999999998,322
0,Generic LLM,Few-shot,Gemini-2.5-Pro,coping,322,0.2453416149068323,0.20434716731970495,0.008251264306627704,0.13358722718617255,0.4937888198757764,0.38095238095238093,0.14285714285714285,322
0,Generic LLM,Few-shot,Gemini-2.5-Pro,quitting,322,0.30745341614906835,0.23747344975286153,0.07104970374395192,0.19192933145954627,0.5807453416149069,0.4227817541644778,0.3333333333333333,322
0,Generic LLM,Zero-shot,Grok-4-Fast,content,322,0.391304347826087,0.1866790563105855,0.04445251937984496,0.07055287708972513,0.7204968944099379,0.290244521202896,0.3333333333333333,322
0,Generic LLM,Zero-shot,Grok-4-Fast,coping,322,0.3198757763975155,0.1746771332529719,0.04836576610617793,0.09347258485639687,0.5714285714285714,0.3858225108225108,0.9999999999999999,322
0,Generic LLM,Zero-shot,Grok-4-Fast,quitting,322,0.2888198757763975,0.1747715944032523,0.04958432686730685,0.09422940388780543,0.5124223602484472,0.3626222498252354,0.5999999999999999,322
0,Generic LLM,Few-shot,Grok-4-Fast,content,322,0.391304347826087,0.22633026741041173,0.07276867699992662,0.16554546419712557,0.7018633540372671,0.33104848558866634,-0.3333333333333333,322
0,Generic LLM,Few-shot,Grok-4-Fast,coping,322,0.32298136645962733,0.20947853820982126,0.05337540793483819,0.1286117749293939,0.5900621118012422,0.3903688674297179,0.0,322
