k_train,method_group,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
0,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,content,892,0.40358744394618834,0.21904597636191495,0.1184837468676101,0.21986962896850692,0.6995515695067265,0.39257222125215835,0.0744992061317363,892
0,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,coping,892,0.3172645739910314,0.19357799513577262,0.0889838467317805,0.24475009108674772,0.4854260089686099,0.3822635896880502,-0.04604580012756536,892
0,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,quitting,892,0.3116591928251121,0.20648867759689765,0.08609759963957053,0.3001176932130247,0.5807174887892377,0.45773420479302834,0.02734817064582439,892
1,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,content,790,0.41265822784810124,0.22551685213213898,0.130240835211769,0.23963378725104356,0.7164556962025317,0.40368841218684737,0.1,790
1,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,coping,790,0.320253164556962,0.19674045473713137,0.0940444360921523,0.2552003350551445,0.4936708860759494,0.3879314495503259,-0.003178778185875051,790
1,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,quitting,790,0.31772151898734174,0.21092874444695528,0.09060621269234481,0.30791191967930276,0.5924050632911393,0.46719422207355255,0.06476163677962417,790
3,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,content,628,0.40764331210191085,0.21862251305156719,0.11551305058949135,0.23049779966894102,0.7022292993630573,0.39213897021052674,0.13513513513513517,628
3,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,coping,628,0.32961783439490444,0.19594005167265147,0.11226764800687661,0.24875276973478522,0.49363057324840764,0.38624504949100597,-0.07692307692307694,628
3,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,quitting,628,0.3073248407643312,0.20168977458515172,0.07515116223957097,0.3007007773865472,0.5764331210191083,0.45906354769695884,0.017294312894212387,628
5,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,content,439,0.428246013667426,0.2384249119328697,0.1492773540038912,0.24422395582095513,0.7175398633257403,0.3943899018232819,0.5666666666666667,439
5,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,coping,439,0.3416856492027335,0.203965680823497,0.10617717095715151,0.28285014590940427,0.5148063781321185,0.41151422375302976,0.11606984150980819,439
5,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,quitting,439,0.3211845102505695,0.2046683976758843,0.10045932119478507,0.30764053521919077,0.5990888382687927,0.47728733747723373,0.16108439182435164,439
7,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,content,265,0.3849056603773585,0.19495089791778533,0.07651686834566207,0.17459435966776127,0.6830188679245283,0.39545458861510707,0.5,265
7,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,coping,265,0.3320754716981132,0.21712925170068026,0.11546730029418428,0.296723892345753,0.5245283018867924,0.44218836830506847,0.12499999999999994,265
7,"LLM-PP (cbtact, Excel-7)",GPT-4o-mini,quitting,265,0.3433962264150943,0.24090998539237712,0.12893170869934822,0.3540086673889491,0.630188679245283,0.5141165466834262,0.3,265
