k_train,feature_set,domain,train_n,test_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
1,Demographics,content,301,2704,0.4375,0.33647819348174257,0.21572088341964413,0.34885337495327584,0.6298076923076923,0.4872469204308689,,2704
1,Demographics,coping,301,2704,0.4068047337278107,0.36866555390174865,0.21706026819359692,0.4348709036500412,0.5998520710059172,0.4997011337379937,,2704
1,Demographics,quitting,301,2704,0.41605029585798814,0.3640918200854587,0.2271708451764517,0.4697303468865822,0.6298076923076923,0.5138982459167526,,2704
1,Avg-History,content,301,2704,0.3443047337278107,0.1024484181568088,0.0,0.0,0.6782544378698225,0.2694285294549728,,2704
1,Avg-History,coping,301,2704,0.3139792899408284,0.09558119898677174,0.0,0.0,0.6053994082840237,0.25140136681256237,,2704
1,Avg-History,quitting,301,2704,0.3047337278106509,0.09342403628117914,0.0,0.0,0.6135355029585798,0.25349530139812054,,2704
1,Demo+History,content,301,2704,0.4382396449704142,0.33641138326895614,0.21584777957469503,0.34961397646659575,0.6335059171597633,0.4886824521099011,,2704
1,Demo+History,coping,301,2704,0.4068047337278107,0.36871313832506997,0.21690505306707142,0.4327248238848431,0.5998520710059172,0.4997011337379937,,2704
1,Demo+History,quitting,301,2704,0.41605029585798814,0.3640918200854587,0.2271708451764517,0.4697303468865822,0.6298076923076923,0.5138982459167526,,2704
1,Embedding,content,297,2670,0.31797752808988766,0.20572515311449205,0.0098193873024911,0.042643911395552014,0.5853932584269663,0.3353221916377285,-0.00678824052132468,2670
1,Embedding,coping,297,2670,0.2910112359550562,0.20200792522081903,0.027455101930077275,0.03986596927636732,0.5164794007490636,0.33749622869839707,0.0014977474132292275,2670
1,Embedding,quitting,297,2670,0.300749063670412,0.20752980099796278,0.031378397415656734,0.05541286812826307,0.5569288389513108,0.3419169885302118,-0.0033080900072172807,2670
1,Embedding+Demo,content,297,2670,0.3194756554307116,0.20606829050174397,0.013049444261916676,0.04390701889798143,0.5771535580524345,0.33315501013771415,-0.006248609632047718,2670
1,Embedding+Demo,coping,297,2670,0.28801498127340824,0.2027805937041439,0.021988575251465026,0.04590133025316556,0.5202247191011236,0.3348955666719127,0.015443378388298576,2670
1,Embedding+Demo,quitting,297,2670,0.29213483146067415,0.19400312961136482,0.015336308222389738,0.03334502603963485,0.5546816479400749,0.32965909735137017,-0.03363575309461119,2670
1,Demographics + History + Message Embedding,content,297,2670,0.3262172284644195,0.20024915219028547,0.014200044330244022,0.021751516557919848,0.598501872659176,0.33206112244029473,-0.03150504823945475,2670
1,Demographics + History + Message Embedding,coping,297,2670,0.28239700374531834,0.19591309008818136,0.012426043727442493,0.03499392033801818,0.5250936329588015,0.33340791188234475,0.00618560812209742,2670
1,Demographics + History + Message Embedding,quitting,297,2670,0.2947565543071161,0.1986227111835141,0.019479507618833436,0.05037597999418375,0.5576779026217229,0.3353589498363725,-0.035106577319119016,2670
3,Demographics,content,903,2102,0.5,0.3543785765355586,0.2810810459005191,0.3775649197138261,0.6874405328258801,0.4745848838017343,,2102
3,Demographics,coping,903,2102,0.4110371075166508,0.3648146551356641,0.21912690122582879,0.4474492162547067,0.6108468125594672,0.5088527228466821,,2102
3,Demographics,quitting,903,2102,0.43387250237868696,0.3820347441704043,0.24630259261446552,0.5166089969391572,0.6646051379638439,0.5471939191973795,,2102
3,Avg-History,content,903,2102,0.47002854424357754,0.2935984604880164,0.2324529286474274,0.43475695586848695,0.6907706945765937,0.420843494449432,,2102
3,Avg-History,coping,903,2102,0.4224548049476689,0.32224039062025966,0.21209235690422823,0.5244289628081391,0.6669838249286394,0.5011268325443186,,2102
3,Avg-History,quitting,903,2102,0.41769743101807805,0.36180753365587603,0.22636562202315091,0.5388683050352958,0.6493815413891532,0.5343042805364824,,2102
3,Demo+History,content,903,2102,0.4871550903901047,0.354095816237831,0.2745881302898311,0.44256609198092267,0.681255946717412,0.5074454534648648,,2102
3,Demo+History,coping,903,2102,0.4419600380589914,0.4015919865028284,0.2616535346300072,0.5118047277662747,0.6422454804947669,0.5413013289761469,,2102
3,Demo+History,quitting,903,2102,0.43149381541389153,0.3924004899841761,0.24939384105457607,0.5556310600251899,0.6655566127497621,0.5646000364739555,,2102
3,Embedding,content,885,2082,0.3357348703170029,0.22270953600497542,0.02864863223730163,0.06614786593691746,0.6152737752161384,0.35912881613078396,0.02817256164448539,2082
3,Embedding,coping,885,2082,0.29442843419788667,0.19597383353893222,0.021540481459241256,0.03677549830578586,0.5331412103746398,0.31102252827466587,0.030969069161297526,2082
3,Embedding,quitting,885,2082,0.30499519692603266,0.21982568688701995,0.033475489389306334,0.06900046703464224,0.5667627281460135,0.35413592643324376,0.01688913178471803,2082
3,Embedding+Demo,content,885,2082,0.33045148895292986,0.2135220944868322,0.01916016982747215,0.052539929713930844,0.6071085494716618,0.3462447758569091,0.015939691206536752,2082
3,Embedding+Demo,coping,885,2082,0.3165225744476465,0.22260947917036705,0.05526624513193723,0.07767441753659188,0.5485110470701249,0.34455249995490894,0.05024241295280646,2082
3,Embedding+Demo,quitting,885,2082,0.3001921229586936,0.215064109181811,0.028777690158377722,0.061195824853097935,0.5658021133525456,0.35162444620252353,0.010671478427138496,2082
3,Demographics + History + Message Embedding,content,885,2082,0.34293948126801155,0.22383181433451246,0.03927950415313908,0.10499392053697298,0.6205571565802114,0.36149025168193333,-0.018081543332285604,2082
3,Demographics + History + Message Embedding,coping,885,2082,0.3270893371757925,0.22616191784648673,0.06687515935262767,0.12920229568617558,0.5605187319884726,0.34754678566192415,0.07445787456656171,2082
3,Demographics + History + Message Embedding,quitting,885,2082,0.3275696445725264,0.24597457718337007,0.0681937190348958,0.18024960943160195,0.5946205571565802,0.3858045353104805,0.04506251031870989,2082
5,Demographics,content,1505,1500,0.5073333333333333,0.36925494720730756,0.29586635117752613,0.4298636985974784,0.694,0.5109598131701166,,1500
5,Demographics,coping,1505,1500,0.448,0.407051438471319,0.2643605178380728,0.5206093978150345,0.6486666666666666,0.537465529058868,,1500
5,Demographics,quitting,1505,1500,0.456,0.40550557050696767,0.27307237977929655,0.5557907855972447,0.682,0.5597427701439734,,1500
5,Avg-History,content,1505,1500,0.4646666666666667,0.3070104074196708,0.22344831498922058,0.4060501165280054,0.6926666666666667,0.4395397586786353,,1500
5,Avg-History,coping,1505,1500,0.41733333333333333,0.37008271137755216,0.21790642318958164,0.5470532319391634,0.648,0.534121713374417,,1500
5,Avg-History,quitting,1505,1500,0.43466666666666665,0.3702026720391209,0.23800075840490564,0.5680392427096254,0.6926666666666667,0.5403219970090477,,1500
5,Demo+History,content,1505,1500,0.5073333333333333,0.35795702156561865,0.296705778750046,0.4338517648793825,0.7,0.5163433630617023,,1500
5,Demo+History,coping,1505,1500,0.432,0.3941828289231374,0.24631294879174181,0.5473725884011509,0.6306666666666667,0.5405455835931453,,1500
5,Demo+History,quitting,1505,1500,0.44866666666666666,0.40633229087060646,0.2685256708866731,0.5998707839595907,0.6666666666666666,0.5690863550295457,,1500
5,Embedding,content,1483,1484,0.3389487870619946,0.2094207727584371,0.03150300899838876,0.08743863726131496,0.6340970350404312,0.3519389320057947,0.030703282566858843,1484
5,Embedding,coping,1483,1484,0.32547169811320753,0.21647213232621548,0.059717893340287764,0.09683044728629997,0.5694070080862533,0.3458193187801162,0.06705644329308363,1484
