Model,Method,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
GPT-4o-mini,PP,Content,0.4228,0.2337,0.1286,0.2507,0.7416,0.4158,0.3497,,298
GPT-4o-mini,Hybrid RF+PP,Content,0.4262,0.2488,0.1511,0.2672,0.7013,0.3996,0.3164,,298
GPT-5,PP,Content,0.4597,0.3283,0.2193,0.3437,0.6812,0.4668,0.3428,,298
GPT-5,Hybrid RF+PP,Content,0.4732,0.3418,0.2457,0.3695,0.7215,0.5669,0.3598,,298
DeepSeek-R1,PP,Content,0.4430,0.3059,0.2117,0.2881,0.6644,0.4915,0.2894,,298
DeepSeek-R1,Hybrid RF+PP,Content,0.3356,0.2259,0.0732,0.2631,0.5872,0.3908,0.2625,,298
Grok-4-Fast,PP,Content,0.4933,0.3121,0.2465,0.3313,0.7215,0.4573,0.3549,,298
Grok-4-Fast,Hybrid RF+PP,Content,0.4765,0.3222,0.2076,0.3262,0.7517,0.4717,0.3557,,298
Gemini-2.5-Pro,PP,Content,0.4295,0.2913,0.1715,0.2896,0.6846,0.4726,0.2717,,298
Gemini-2.5-Pro,Hybrid RF+PP,Content,0.4195,0.2919,0.1529,0.2892,0.7081,0.4876,0.2817,,298
GPT-4o-mini,PP,Coping,0.3077,0.1974,0.0875,0.2526,0.4916,0.4017,0.3007,,299
GPT-4o-mini,Hybrid RF+PP,Coping,0.3445,0.2335,0.1234,0.3320,0.5719,0.4620,0.3477,,299
GPT-5,PP,Coping,0.3746,0.3375,0.1642,0.3905,0.6120,0.5247,0.3290,0.0000,299
GPT-5,Hybrid RF+PP,Coping,0.4281,0.3923,0.2410,0.4098,0.6221,0.5398,0.3572,,299
DeepSeek-R1,PP,Coping,0.3913,0.3587,0.1898,0.3886,0.6020,0.4751,0.3243,1.0000,299
DeepSeek-R1,Hybrid RF+PP,Coping,0.3813,0.3522,0.1827,0.3250,0.5853,0.4800,0.2839,1.0000,299
Grok-4-Fast,PP,Coping,0.4482,0.3690,0.2433,0.4377,0.6656,0.5335,0.3764,0.0000,299
Grok-4-Fast,Hybrid RF+PP,Coping,0.4281,0.3672,0.2065,0.4623,0.6689,0.4888,0.4176,1.0000,299
Gemini-2.5-Pro,PP,Coping,0.4415,0.4000,0.2456,0.4214,0.6388,0.5144,0.3562,0.0000,299
Gemini-2.5-Pro,Hybrid RF+PP,Coping,0.4114,0.3673,0.2036,0.4173,0.6488,0.5143,0.3617,1.0000,299
GPT-4o-mini,PP,Quitting,0.3244,0.2136,0.0981,0.2760,0.5920,0.4627,0.3074,,299
GPT-4o-mini,Hybrid RF+PP,Quitting,0.3880,0.2816,0.1698,0.4183,0.6789,0.5395,0.4306,,299
GPT-5,PP,Quitting,0.4114,0.3895,0.2178,0.4864,0.6455,0.5229,0.4274,,299
GPT-5,Hybrid RF+PP,Quitting,0.4548,0.4212,0.2820,0.4832,0.6522,0.5569,0.4413,,299
DeepSeek-R1,PP,Quitting,0.4047,0.3719,0.2077,0.4356,0.6455,0.5194,0.3552,,299
DeepSeek-R1,Hybrid RF+PP,Quitting,0.4147,0.3682,0.2274,0.4007,0.6288,0.5118,0.3593,,299
Grok-4-Fast,PP,Quitting,0.4415,0.3990,0.2367,0.4933,0.6722,0.5203,0.4192,,299
Grok-4-Fast,Hybrid RF+PP,Quitting,0.4916,0.4378,0.2996,0.5388,0.7023,0.5498,0.4817,,299
Gemini-2.5-Pro,PP,Quitting,0.4515,0.4079,0.2590,0.4882,0.6589,0.5239,0.4054,,299
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,0.4348,0.3738,0.2262,0.4751,0.6689,0.4906,0.4222,1.0000,299
