k_train,feature_set,method,metric,metric_col,mean_across_domains,N_min,N_max
1,Avg-History,Supervised RF,Accuracy,Accuracy,0.32100591715976334,2704.0,2704.0
1,Avg-History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4174063116370808,2704.0,2704.0
1,Demo+History,Supervised RF,Accuracy,Accuracy,0.4203648915187377,2704.0,2704.0
1,Demo+History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4174063116370808,2704.0,2704.0
1,Demographics,Supervised RF,Accuracy,Accuracy,0.42011834319526625,2704.0,2704.0
1,Demographics,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4174063116370808,2704.0,2704.0
1,Demographics + History + Message Embedding,Supervised RF,Accuracy,Accuracy,0.30112359550561796,2670.0,2670.0
1,Demographics + History + Message Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4184769038701623,2670.0,2670.0
1,Embedding,Supervised RF,Accuracy,Accuracy,0.3032459425717853,2670.0,2670.0
1,Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4184769038701623,2670.0,2670.0
1,Embedding+Demo,Supervised RF,Accuracy,Accuracy,0.29987515605493126,2670.0,2670.0
1,Embedding+Demo,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4184769038701623,2670.0,2670.0
3,Avg-History,Supervised RF,Accuracy,Accuracy,0.4367269267364415,2102.0,2102.0
3,Avg-History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.437836980653346,2102.0,2102.0
3,Demo+History,Supervised RF,Accuracy,Accuracy,0.45353631462099586,2102.0,2102.0
3,Demo+History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.437836980653346,2102.0,2102.0
3,Demographics,Supervised RF,Accuracy,Accuracy,0.4483032032984459,2102.0,2102.0
3,Demographics,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.437836980653346,2102.0,2102.0
3,Demographics + History + Message Embedding,Supervised RF,Accuracy,Accuracy,0.33253282100544346,2082.0,2082.0
3,Demographics + History + Message Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.43723983349343576,2082.0,2082.0
3,Embedding,Supervised RF,Accuracy,Accuracy,0.3117195004803074,2082.0,2082.0
3,Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.43723983349343576,2082.0,2082.0
3,Embedding+Demo,Supervised RF,Accuracy,Accuracy,0.3157220621197566,2082.0,2082.0
3,Embedding+Demo,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.43723983349343576,2082.0,2082.0
7,Avg-History,Supervised RF,Accuracy,Accuracy,0.4617668893838158,898.0,898.0
7,Avg-History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.46213808463251665,898.0,898.0
7,Demo+History,Supervised RF,Accuracy,Accuracy,0.4461766889383815,898.0,898.0
7,Demo+History,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.46213808463251665,898.0,898.0
7,Demographics,Supervised RF,Accuracy,Accuracy,0.47438752783964366,898.0,898.0
7,Demographics,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.46213808463251665,898.0,898.0
7,Demographics + History + Message Embedding,Supervised RF,Accuracy,Accuracy,0.3639109097772744,883.0,883.0
7,Demographics + History + Message Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4628161570403926,883.0,883.0
7,Embedding,Supervised RF,Accuracy,Accuracy,0.32163080407701017,883.0,883.0
7,Embedding,LLM-PP (Grok-4-Fast),Accuracy,Accuracy,0.4628161570403926,883.0,883.0
