k_train,metric,feature_set,N_min,N_max,best_overall_method,best_overall,supervised_rf,llm_pp_grok
1,Accuracy,Demo+History,2704,2704,Supervised RF,0.4203648915187377,0.4203648915187377,0.4174063116370808
3,Accuracy,Demo+History,2102,2102,Supervised RF,0.45353631462099586,0.45353631462099586,0.437836980653346
7,Accuracy,Demographics,898,898,Supervised RF,0.47438752783964366,0.47438752783964366,0.46213808463251665
1,Macro-F1,Demographics,2704,2704,Supervised RF,0.35641185582298335,0.35641185582298335,0.3433378861934848
3,Macro-F1,Demo+History,2102,2102,Supervised RF,0.38269609757494516,0.38269609757494516,0.3528649728652111
7,Macro-F1,Demographics,898,898,Supervised RF,0.40275219476295304,0.40275219476295304,0.3698716966150057
1,QWK,Demographics,2704,2704,Supervised RF,0.41781820849663304,0.41781820849663304,0.4172571367200517
3,QWK,Demo+History,2102,2102,Supervised RF,0.5033339599241291,0.5033339599241291,0.45718598287637446
7,QWK,Demo+History,898,898,Supervised RF,0.5485012253369551,0.5485012253369551,0.4878557646528325
1,Within-participant Spearman rho,Demographics + History + Message Embedding,2670,2670,LLM-PP (Grok-4-Fast),0.0620747491667627,-0.020142005812158765,0.0620747491667627
3,Within-participant Spearman rho,Demographics + History + Message Embedding,2082,2082,Supervised RF,0.03381294718432863,0.03381294718432863,0.0123548028837601
7,Within-participant Spearman rho,Demographics + History + Message Embedding,883,883,LLM-PP (Grok-4-Fast),0.07140350522703691,-0.010129511936994531,0.07140350522703691
