k_train,feature_set,domain,method,method_display,true_rating,predicted_rating,n,row_total,row_percent
7,Demo+History,Content,Supervised RF,Supervised RF,1,1,0,28,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,1,2,8,28,0.2857142857142857
7,Demo+History,Content,Supervised RF,Supervised RF,1,3,11,28,0.39285714285714285
7,Demo+History,Content,Supervised RF,Supervised RF,1,4,5,28,0.17857142857142858
7,Demo+History,Content,Supervised RF,Supervised RF,1,5,4,28,0.14285714285714285
7,Demo+History,Content,Supervised RF,Supervised RF,2,1,0,56,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,2,2,8,56,0.14285714285714285
7,Demo+History,Content,Supervised RF,Supervised RF,2,3,23,56,0.4107142857142857
7,Demo+History,Content,Supervised RF,Supervised RF,2,4,21,56,0.375
7,Demo+History,Content,Supervised RF,Supervised RF,2,5,4,56,0.07142857142857142
7,Demo+History,Content,Supervised RF,Supervised RF,3,1,0,202,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,3,2,13,202,0.06435643564356436
7,Demo+History,Content,Supervised RF,Supervised RF,3,3,107,202,0.5297029702970297
7,Demo+History,Content,Supervised RF,Supervised RF,3,4,63,202,0.3118811881188119
7,Demo+History,Content,Supervised RF,Supervised RF,3,5,19,202,0.09405940594059406
7,Demo+History,Content,Supervised RF,Supervised RF,4,1,0,300,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,4,2,7,300,0.023333333333333334
7,Demo+History,Content,Supervised RF,Supervised RF,4,3,65,300,0.21666666666666667
7,Demo+History,Content,Supervised RF,Supervised RF,4,4,162,300,0.54
7,Demo+History,Content,Supervised RF,Supervised RF,4,5,66,300,0.22
7,Demo+History,Content,Supervised RF,Supervised RF,5,1,0,312,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,5,2,0,312,0.0
7,Demo+History,Content,Supervised RF,Supervised RF,5,3,33,312,0.10576923076923077
7,Demo+History,Content,Supervised RF,Supervised RF,5,4,108,312,0.34615384615384615
7,Demo+History,Content,Supervised RF,Supervised RF,5,5,171,312,0.5480769230769231
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,1,1,0,28,0.0
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,1,2,6,28,0.21428571428571427
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,1,3,5,28,0.17857142857142858
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,1,4,10,28,0.35714285714285715
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,1,5,7,28,0.25
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,2,1,0,56,0.0
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,2,2,6,56,0.10714285714285714
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,2,3,16,56,0.2857142857142857
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,2,4,26,56,0.4642857142857143
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,2,5,8,56,0.14285714285714285
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,3,1,0,202,0.0
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,3,2,7,202,0.034653465346534656
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,3,3,75,202,0.3712871287128713
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,3,4,83,202,0.41089108910891087
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,3,5,37,202,0.18316831683168316
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,4,1,1,300,0.0033333333333333335
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,4,2,3,300,0.01
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,4,3,37,300,0.12333333333333334
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,4,4,169,300,0.5633333333333334
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,4,5,90,300,0.3
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,5,1,0,312,0.0
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,5,2,1,312,0.003205128205128205
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,5,3,10,312,0.03205128205128205
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,5,4,103,312,0.3301282051282051
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,5,5,198,312,0.6346153846153846
7,Demo+History,Coping,Supervised RF,Supervised RF,1,1,17,88,0.19318181818181818
7,Demo+History,Coping,Supervised RF,Supervised RF,1,2,30,88,0.3409090909090909
7,Demo+History,Coping,Supervised RF,Supervised RF,1,3,29,88,0.32954545454545453
7,Demo+History,Coping,Supervised RF,Supervised RF,1,4,8,88,0.09090909090909091
7,Demo+History,Coping,Supervised RF,Supervised RF,1,5,4,88,0.045454545454545456
7,Demo+History,Coping,Supervised RF,Supervised RF,2,1,10,94,0.10638297872340426
