Model,Model_ID,Method,Category,Domain,Accuracy,F1,Kappa,QWK,N,Split,Source_File,Feature_Set,Classifier
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Content,0.3856,0.1374,0.0271,0.0343,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Coping,0.2541,0.1405,-0.0114,0.0693,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (all),Generic LLM,Quitting,0.3094,0.1772,0.0482,0.1042,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Content,0.4281,0.2055,0.0998,0.085,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Coping,0.2834,0.144,0.0054,0.0963,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Zero-shot (select),Generic LLM,Quitting,0.3322,0.2463,0.0718,0.1722,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Content,0.3693,0.1915,0.0179,0.1116,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Coping,0.2638,0.1722,0.024,0.0869,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (all),Generic LLM,Quitting,0.2736,0.2036,0.018,0.1058,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Content,0.3758,0.2106,0.0416,0.1078,306,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Coping,0.3029,0.2134,0.0715,0.1541,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,Few-shot (select),Generic LLM,Quitting,0.3746,0.3085,0.1594,0.1668,307,digital_twin_7030,results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,,
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Content,0.4183,0.2312,0.1192,0.246,306,digital_twin_7030,results_manuscript_gpt-4o-mini/digital_twin_4_cbtact_7030.json,,
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Coping,0.3192,0.2015,0.0985,0.2527,307,digital_twin_7030,results_manuscript_gpt-4o-mini/digital_twin_4_cbtact_7030.json,,
GPT-4o-mini,gpt-4o-mini,PP,Personalized Prompt,Quitting,0.3257,0.2144,0.0989,0.272,307,digital_twin_7030,results_manuscript_gpt-4o-mini/digital_twin_4_cbtact_7030.json,,
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Content,0.4281,0.2487,0.1508,0.2638,306,digital_twin_7030,results_manuscript_hybrid_gpt-4o-mini/evaluation_results_gpt-4o-mini_text-only_hybrid-rf-digital-twin.json,,
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Coping,0.3518,0.2356,0.1283,0.3244,307,digital_twin_7030,results_manuscript_hybrid_gpt-4o-mini/evaluation_results_gpt-4o-mini_text-only_hybrid-rf-digital-twin.json,,
GPT-4o-mini,gpt-4o-mini,Hybrid RF+PP,Hybrid,Quitting,0.3876,0.2814,0.169,0.4112,307,digital_twin_7030,results_manuscript_hybrid_gpt-4o-mini/evaluation_results_gpt-4o-mini_text-only_hybrid-rf-digital-twin.json,,
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Content,0.402,0.2024,0.0754,0.1377,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,,
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Coping,0.241,0.1614,0.0038,0.0778,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,,
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Quitting,0.1433,0.1011,-0.0019,0.0449,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Content,0.3889,0.1839,0.0561,0.0967,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Coping,0.2964,0.1757,0.0691,0.0898,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Quitting,0.1694,0.1422,0.004,0.0808,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
